"nome","first_arrival","last_departure","trip_time","electric_plug","wi-fi","bike_support","transportation_class"
"Cavalese-Ospedale","08:25:00","15:58:00","00:05:00",0,0,1,0
"S.Massenza","17:50:00","17:52:00","00:02:00",0,0,1,0
"Polsa","07:35:00","11:23:00","00:17:00",0,0,1,0
"Portolo","06:55:00","18:56:00","00:28:00",0,0,1,0
"Campo Carlomagno","06:45:00","nan","00:30:00",0,0,1,0
"Trento-Ospedale S.Camillo","05:50:00","06:44:00","00:54:00",0,0,1,0
"Vigo Cavedine","06:29:00","21:41:00","00:15:00",0,0,1,0
"Terlago","09:23:00","17:28:00","00:54:00",0,0,1,0
"Streva","11:30:00","12:02:00","00:32:00",0,0,1,0
"Lavis-Staz. Ftm","11:30:00","17:49:00","00:19:00",0,0,1,0
"Mezzomonte","06:55:00","08:05:00","00:15:00",0,0,1,0
"Monte Terlago-H. 2 Laghi","08:00:00","18:31:00","00:40:00",0,0,1,0
"Ischia di Pergine","08:37:00","13:39:00","00:10:00",0,0,1,0
"Feltre Deposito","16:59:00","nan","00:30:00",0,0,1,0
"Trento-Stazione Fs","04:00:00","nan","02:03:00",0,0,1,0
"Centrale di Bedollo","06:40:00","13:20:00","00:05:00",0,0,1,0
"Rabbi Bagni","15:45:00","16:08:00","00:23:00",0,0,1,0
"Lanza di Rumo","09:40:00","17:15:00","00:40:00",0,0,1,0
"Ora-Stazione Fs","05:30:00","19:49:00","00:45:00",0,0,1,0
"Riva Via D.Chiesa","13:27:00","14:14:00","00:47:00",0,0,1,0
"Calliano","06:27:00","06:58:00","00:31:00",0,0,1,0
"Cadine","07:02:00","07:20:00","00:18:00",0,0,1,0
"Tuenno","11:35:00","11:46:00","00:11:00",0,0,1,0
"Busarel","07:40:00","23:21:00","00:14:00",0,0,1,0
"Pergine V.-Scuole Andreatta","07:16:00","07:44:00","00:28:00",0,0,1,0
"Ciago","07:15:00","07:49:00","00:34:00",0,0,1,0
"Fornace-Via Dei Pradolini 4","13:10:00","14:01:00","00:51:00",0,0,1,0
"Bresimo","09:58:00","19:05:00","00:10:00",0,0,1,0
"Andalo-Maso Toscana","18:50:00","19:45:00","00:35:00",0,0,1,0
"Garniga Terme","16:40:00","nan","00:30:00",0,0,1,0
"Tonadico-3 Ponti","14:07:00","14:11:00","00:04:00",0,0,1,0
"Albiano","12:25:00","13:12:00","00:47:00",0,0,1,0
"Raossi","06:20:00","11:13:00","00:27:00",0,0,1,0
"Vigo di Ton","14:42:00","14:52:00","00:10:00",0,0,1,0
"Bastianello","09:10:00","09:42:00","00:32:00",0,0,1,0
"Strigno","06:00:00","06:57:00","00:24:00",0,0,1,0
"Tezze","14:28:00","15:04:00","00:36:00",0,0,1,0
"Scancio di Segonzano-Snack Bar","11:15:00","nan","00:30:00",0,0,1,0
"Smarano","09:20:00","18:36:00","00:21:00",0,0,1,0
"Cirè-Ex Statale","14:25:00","14:33:00","00:08:00",0,0,1,0
"Vigolo Vattaro","11:35:00","15:00:00","00:35:00",0,0,1,0
"Hacleri","12:55:00","19:38:00","00:35:00",0,0,1,0
"Levico T.-Via Avancini","06:09:00","14:10:00","01:00:00",0,0,1,0
"Salorno-Trenitalia","06:40:00","06:59:00","00:19:00",0,0,1,0
"Mori-Bar Centrale","11:20:00","18:20:00","00:06:00",0,0,1,0
"Pergine Vals.-Sc.Garbari","06:58:00","07:54:00","00:34:00",0,0,1,0
"Serso Centrale Idroelettrica","06:52:00","17:28:00","00:25:00",0,0,1,0
"Nave San Rocco","07:11:00","07:23:00","00:12:00",0,0,1,0
"Baselga-Municipio","06:30:00","19:28:00","00:11:00",0,0,1,0
