"name","first_arrival","delay","last_departure","trip_time","electric_plug","wi-fi","bike_support","transportation_class","eco_fuel"
"(Volano) Bettini Staz. Lizzana Marco","06:10:00",0.17830882352941177,"07:16:00","00:32:00",0,0,0,0,0
"03 Peders. Brione Stazione Isera (Lenzima)","06:05:00",0.07246376811594203,"20:21:00","00:15:00",0,0,0,0,0
"Brione Cesari Ospedale Podesta' Brione","06:55:00",1.0166666666666666,"20:08:00","00:33:00",0,0,0,0,0
"C.So Bettini Lizzana Marco Mori","22:57:00",0.0,"25:49:00","00:35:00",0,0,0,0,0
"Canova Melta Piazza Dante Gocciadoro","05:25:00",0.21774193548387097,"22:14:00","00:02:00",0,0,0,0,0
"Castellano Molini Villa Lagarina","10:11:00",0.0,"19:21:00","00:19:00",0,0,0,0,0
"Castellano Stazione Fs","22:50:00",0.0,"25:56:00","00:15:00",0,0,0,0,0
"Centochiavi Martignano Cognola Povo","07:50:00",0.0,"19:05:00","00:25:00",0,0,0,0,0
"Centochiavi Piazza Dante Mattarello","05:08:00",0.2974137931034483,"nan","00:15:00",0,0,0,0,0
"Cortesano Gardolo P.Dante Villazzano 3","05:37:00",0.39563106796116504,"24:05:00","00:19:00",0,0,0,0,0
"Costa Corso Rosmini S.Giorgio/Ospedale","06:37:00",0.09114583333333333,"12:32:00","00:37:00",0,0,0,0,0
"Costa Noriglio C.So Rosmini","23:59:59",0.0,"24:31:00","00:15:00",0,0,0,0,0
"Funivia Trento Sardagna","07:00:00",0.0,"22:35:00","00:05:00",0,0,0,0,0
"Gardolo Gardolo Di Mezzo E Spini","06:41:00",0.0,"19:22:00","00:10:00",0,0,0,0,0
"Gardolo Roncafort Stazione V.Deg. Mad.Bianca","05:41:00",0.2283653846153846,"20:42:00","00:15:00",0,0,0,0,0
"Moietto Rosmini Campana Dei Caduti","06:54:00",0.0,"18:29:00","00:21:00",0,0,0,0,0
"Navetta Parcheggi: Zuffo M.Te Baldo Zuffo","06:30:00",1.2231638418079094,"21:33:00","00:24:00",0,0,0,0,0
"Nomi Besenello Stazione Fs","22:48:00",0.0,"25:17:00","00:15:00",0,0,0,0,0
"Nomi Villa Lagarina Stazione Mori","06:16:00",0.3260135135135135,"19:15:00","00:25:00",0,0,0,0,0
"Ospedale P.Dante Sopramonte","05:45:00",0.12562500000000001,"13:50:00","00:25:00",0,0,0,0,0
"Ospedale Stazione Isera Villa Lagar.","06:11:00",0.15320512820512822,"20:05:00","00:30:00",0,0,0,0,0
"Ossario Osp. S.Giorgio Osp. Ossario","06:51:00",0.9798850574712644,"19:36:00","00:26:00",0,0,0,0,0
"P.Dante Martignano Cognola / Montevaccino","06:45:00",0.5380597014925372,"23:58:00","00:30:00",0,0,0,0,0
"P.Dante S.Donà Cognola Villamontagna","06:29:00",0.1358695652173913,"21:24:00","00:25:00",0,0,0,0,0
"P.Dante Via Ghiaie Ravina Romagnano","06:35:00",0.19078947368421054,"23:53:00","00:21:00",0,0,0,0,0
"P.Dante Via Sanseverino Belvedere Ravina","07:05:00",0.171875,"20:54:00","00:01:00",0,0,0,0,0
"Piazza Dante P.Fiera Povo Oltrecastello","05:40:00",0.1865079365079365,"23:58:00","00:24:00",0,0,0,0,0
"Piazza Dante Via Bolzano Lamar Lavis","06:25:00",0.071875,"23:59:00","00:06:00",0,0,0,0,0
"Piedic. Stazione Osp.S.Chiara Regione Piedic.","05:55:00",6.790880503144654,"23:16:00","00:08:00",0,0,0,0,0
"Povo Borino Celva Passo Cimirlo","07:00:00",0.0,"19:03:00","00:15:00",0,0,0,0,0
"Savignano Pomarolo","06:35:00",0.0,"17:16:00","00:05:00",0,0,0,0,0
"Spini Di Gardolo Via Brennero P.Dante","05:32:00",0.4318181818181818,"19:52:00","00:20:00",0,0,0,0,0
"Vela P.Dante Villazzano Grotta","05:35:00",0.22413793103448276,"22:06:00","00:16:00",0,0,0,0,0
"Via Magazol S.Giorgio Cornacalda","07:52:00",0.0,"19:53:00","00:28:00",0,0,0,0,0
"Villa Lag. Brione Staz. Isera Lenzima","06:08:00",0.30238095238095236,"12:44:00","00:25:00",0,0,0,0,0
"Volano Besenello Calliano Nomi","07:27:00",0.0,"19:28:00","00:14:00",0,0,0,0,0
