"arrival_time","departure_time","stop_id","trip_headsign"
"06:25:00","06:25:00",73,"Lavis Rosmini Segantini"
"06:26:00","06:26:00",75,"Lavis Rosmini Segantini"
"06:27:00","06:27:00",4,"Lavis Rosmini Segantini"
"06:29:00","06:29:00",77,"Lavis Rosmini Segantini"
"06:30:00","06:30:00",81,"Lavis Rosmini Segantini"
"06:31:00","06:31:00",80,"Lavis Rosmini Segantini"
"06:45:00","06:45:00",73,"Lavis Rosmini Segantini"
"06:46:00","06:46:00",75,"Lavis Rosmini Segantini"
"06:47:00","06:47:00",4,"Lavis Rosmini Segantini"
"06:49:00","06:49:00",77,"Lavis Rosmini Segantini"
"06:50:00","06:50:00",81,"Lavis Rosmini Segantini"
"06:51:00","06:51:00",80,"Lavis Rosmini Segantini"
"06:26:00","06:26:00",247,"Oltrecastello"
"06:28:00","06:28:00",407,"Oltrecastello"
"06:30:00","06:30:00",444,"Oltrecastello"
"06:31:00","06:31:00",165,"Oltrecastello"
"06:33:00","06:33:00",166,"Oltrecastello"
"06:33:00","06:33:00",2927,"Oltrecastello"
"06:34:00","06:34:00",450,"Oltrecastello"
"06:36:00","06:36:00",452,"Oltrecastello"
"06:37:00","06:37:00",174,"Oltrecastello"
"06:38:00","06:38:00",145,"Oltrecastello"
"06:39:00","06:39:00",147,"Oltrecastello"
"06:40:00","06:40:00",149,"Oltrecastello"
"06:41:00","06:41:00",188,"Oltrecastello"
"06:42:00","06:42:00",215,"Oltrecastello"
"06:42:00","06:42:00",183,"Oltrecastello"
"06:43:00","06:43:00",186,"Oltrecastello"
"06:43:00","06:43:00",185,"Oltrecastello"
"06:44:00","06:44:00",190,"Oltrecastello"
"06:45:00","06:45:00",181,"Oltrecastello"
"06:45:00","06:45:00",179,"Oltrecastello"
"06:46:00","06:46:00",243,"Oltrecastello"
"06:48:00","06:48:00",9,"Oltrecastello"
"06:50:00","06:50:00",161,"Oltrecastello"
"07:44:00","07:44:00",247,"Oltrecastello"
"07:46:00","07:46:00",407,"Oltrecastello"
"07:48:00","07:48:00",444,"Oltrecastello"
"07:49:00","07:49:00",165,"Oltrecastello"
"07:51:00","07:51:00",166,"Oltrecastello"
"07:51:00","07:51:00",2927,"Oltrecastello"
"07:52:00","07:52:00",450,"Oltrecastello"
"07:54:00","07:54:00",452,"Oltrecastello"
"07:55:00","07:55:00",174,"Oltrecastello"
"07:56:00","07:56:00",145,"Oltrecastello"
"07:57:00","07:57:00",147,"Oltrecastello"
"07:58:00","07:58:00",149,"Oltrecastello"
"07:59:00","07:59:00",188,"Oltrecastello"
"08:00:00","08:00:00",215,"Oltrecastello"
"08:00:00","08:00:00",183,"Oltrecastello"
"08:01:00","08:01:00",186,"Oltrecastello"
"08:01:00","08:01:00",185,"Oltrecastello"
"08:02:00","08:02:00",190,"Oltrecastello"
"08:03:00","08:03:00",181,"Oltrecastello"
"08:03:00","08:03:00",179,"Oltrecastello"
"08:04:00","08:04:00",243,"Oltrecastello"
"08:06:00","08:06:00",9,"Oltrecastello"
"08:08:00","08:08:00",161,"Oltrecastello"
"08:13:00","08:13:00",247,"Oltrecastello"
"08:15:00","08:15:00",407,"Oltrecastello"
"08:17:00","08:17:00",444,"Oltrecastello"
"08:18:00","08:18:00",165,"Oltrecastello"
"08:20:00","08:20:00",166,"Oltrecastello"
"08:20:00","08:20:00",2927,"Oltrecastello"
"08:21:00","08:21:00",450,"Oltrecastello"
"08:23:00","08:23:00",452,"Oltrecastello"
"08:24:00","08:24:00",174,"Oltrecastello"
"08:25:00","08:25:00",145,"Oltrecastello"
"08:26:00","08:26:00",147,"Oltrecastello"
"08:27:00","08:27:00",149,"Oltrecastello"
"08:28:00","08:28:00",188,"Oltrecastello"
"08:29:00","08:29:00",215,"Oltrecastello"
"08:29:00","08:29:00",183,"Oltrecastello"
"08:30:00","08:30:00",186,"Oltrecastello"
"08:30:00","08:30:00",185,"Oltrecastello"
"08:31:00","08:31:00",190,"Oltrecastello"
"08:32:00","08:32:00",181,"Oltrecastello"
"08:32:00","08:32:00",179,"Oltrecastello"
"08:33:00","08:33:00",243,"Oltrecastello"
"08:35:00","08:35:00",9,"Oltrecastello"
"08:37:00","08:37:00",161,"Oltrecastello"
"07:24:00","07:24:00",247,"Villamontagna P.Predaroi"
"07:26:00","07:26:00",407,"Villamontagna P.Predaroi"
