"model","eco_fuel","energySource","engine_type","typePrivate"
"Abarth 500",0,"Petrol","Abarth","Car"
"Abarth Grande Punto",0,"Petrol","1.4 T-Jet 155","Car"
"Abarth Punto Evo",0,"Petrol","1.4 16v Turbo MultiAir 165","Car"
"Alfa Romeo 145 Range",0,"Petrol","1.6 Twin Spark 16v","Car"
"Alfa Romeo 146 Range",0,"Petrol","1.6 Twin Spark 16v","Car"
"Alfa Romeo 147",0,"Petrol","1.6 (120 bhp)","Car"
"Alfa Romeo 147 Range",0,"Petrol","2.0 Selespeed","Car"
"Alfa Romeo 156 Range",0,"Petrol","1.6 Twin Spark 16v","Car"
"Alfa Romeo 156 Saloon",0,"Petrol","1.8","Car"
"Alfa Romeo 156 Saloon (2003) Range",0,"Petrol","1.8","Car"
"Alfa Romeo 156 Saloon 2002 MY Range",0,"Petrol","2.4 JTD","Car"
"Alfa Romeo 156 Saloon Range",0,"Petrol","2.4 JTD","Car"
"Alfa Romeo 156 Sportwagon",0,"Petrol","1.8","Car"
"Alfa Romeo 156 Sportwagon (2003) Range",0,"Petrol","1.8","Car"
"Alfa Romeo 156 Sportwagon 2002 MY Range",0,"Petrol","2.4 JTD","Car"
"Alfa Romeo 156 Sportwagon Range",0,"Petrol","2.4 JTD","Car"
"Alfa Romeo 159",0,"Diesel","1.9 JTDM 16v","Car"
"Alfa Romeo 159 (2008 Model Year)",0,"Petrol","1.9 JTDM 16v","Car"
"Alfa Romeo 159 Sportwagon",0,"Diesel","1.9 JTDM 16v","Car"
"Alfa Romeo 159 Sportwagon (2008 Model Year)",0,"Petrol","1.9 JTDM 16v","Car"
"Alfa Romeo 166",0,"Petrol","3.0 V6 24v Sportronic","Car"
"Alfa Romeo 166 (2004) Range",0,"Petrol","3.0 V6 24v Sportronic","Car"
"Alfa Romeo 166 Range",0,"Petrol","2.5 V6","Car"
"Alfa Romeo Alfa 147",0,"Petrol","1.9 JTDM 16v","Car"
"Alfa Romeo Alfa 159",0,"Petrol","1.9 16v JTDM","Car"
"Alfa Romeo Alfa 159 Sportwagon",0,"Petrol","2.2 16v","Car"
"Alfa Romeo Alfa Brera",0,"Petrol","2.2 JTS","Car"
"Alfa Romeo Alfa GT",0,"Petrol","2.0 JTS","Car"
"Alfa Romeo Alfa Spider",0,"Petrol","2.2 JTS","Car"
"Alfa Romeo Brera",0,"Petrol","2.2 JTS","Car"
"Alfa Romeo Brera (2008 Model Year)",0,"Petrol","2.2 JTS","Car"
"Alfa Romeo GT",0,"Petrol","2.0 JTS","Car"
"Alfa Romeo GT Range",0,"Petrol","2.0 JTS","Car"
"Alfa Romeo Giulietta",0,"Petrol","1.4 TB 120 bhp","Car"
"Alfa Romeo MiTo",0,"Petrol","1.3 JTDm-2 85 bhp","Car"
"Alfa Romeo Spider",0,"Petrol","2.2 JTS","Car"
"Alfa Romeo Spider (2008 Model Year)",0,"Petrol","2.2 JTS","Car"
"Alfa Romeo Spider/GTV",0,"Petrol","2.0 TS 16v","Car"
"Alfa Romeo Spider/GTV (2003) Range",0,"Petrol","2.0 TS 16v","Car"
"Aston Martin Lagonda Aston Martin",0,"Petrol","DB7 Vantage (Coupé & Convertible)","Car"
"Aston Martin Lagonda Cygnet MY2011",0,"Petrol","Hatchback","Car"
"Aston Martin Lagonda Cygnet, MY2011",0,"Petrol","Hatchback","Car"
"Aston Martin Lagonda DB7",0,"Petrol","DB7 Vantage (Coupé & Convertible)","Car"
"Aston Martin Lagonda DB9",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda DB9 08MY",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda DB9 09MY",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda DB9 Model Year 2010",0,"Petrol","Coupé & Convertible March 2010 onwards","Car"
"Aston Martin Lagonda DB9, MY2013 onwards",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda DB9, Model Year 2010",0,"Petrol","Coupé & Convertible March 2010 onwards","Car"
"Aston Martin Lagonda DBS",0,"Petrol","Coupé & Convertible March 2010 onwards","Car"
"Aston Martin Lagonda Rapide",0,"Petrol","Hatchback March 2010 onwards","Car"
"Aston Martin Lagonda Rapide Model Year 2010",0,"Petrol","4 Door Sports March 2010 onwards","Car"
"Aston Martin Lagonda Rapide S, From Feb 2013",0,"Petrol","4 door Sports","Car"
"Aston Martin Lagonda Rapide, Model Year 2010",0,"Petrol","4 Door Sports March 2010 onwards","Car"
"Aston Martin Lagonda V12 Vantage",0,"Petrol","Hatchback March 2010 onwards","Car"
"Aston Martin Lagonda V12 Vantage Roadster, From August 2012",0,"Petrol","Roadster","Car"
"Aston Martin Lagonda V12 Vantage, MY2013",0,"Petrol","Hatchback and Roadster","Car"
"Aston Martin Lagonda V8 Vantage",0,"Petrol","Hatchback & Convertible","Car"
"Aston Martin Lagonda V8 Vantage 08MY",0,"Petrol","Hatchback & Convertible","Car"
"Aston Martin Lagonda V8 Vantage 09MY",0,"Petrol","Hatchback & Convertible","Car"
"Aston Martin Lagonda V8 Vantage MY2011",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda V8 Vantage MY2012 December 2011 onwards",0,"Petrol","Coupé & Convertible (ASM7)","Car"
"Aston Martin Lagonda V8 Vantage MY2012, December 2011 onwards",0,"Petrol","Coupé & Convertible (ASM7)","Car"
"Aston Martin Lagonda V8 Vantage S 2011MY",0,"Petrol","Coupé & Convertible (ASM7)","Car"
"Aston Martin Lagonda V8 Vantage S, 2011MY",0,"Petrol","Hatchback & Convertible","Car"
"Aston Martin Lagonda V8 Vantage S, MY2013 onwards",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda V8 Vantage, MY2011",0,"Petrol","Hatchback & Convertible","Car"
"Aston Martin Lagonda V8 Vantage, MY2013 onwards",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda Vanquish",0,"Petrol","Vanquish","Car"
"Aston Martin Lagonda Vanquish, MY2013 onwards",0,"Petrol","Coupé","Car"
"Aston Martin Lagonda Virage MY2012",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda Virage, MY2012",0,"Petrol","Coupé & Convertible","Car"
"Aston Martin Lagonda Zagato, from August 2012",0,"Petrol","Coupé","Car"
"Audi A1",0,"Petrol","1.2 TFSI 86PS Stop-Start","Car"
"Audi A1 Sportback",0,"Petrol","1.2 TFSI 86PS Stop-Start","Car"
"Audi A2 (Standard, SE & Sport)",0,"Petrol","1.4 (75 PS)","Car"
"Audi A2 SE",0,"Petrol","1.4 (75 PS)","Car"
"Audi A2 Sport",0,"Petrol","1.4 (75 PS)","Car"
"Audi A2 Standard",0,"Petrol","1.4 (75 PS)","Car"
"Audi A3",0,"Petrol","1.8 TFSI 160PS","Car"
"Audi A3 (S, SE, Sport) From 2003",0,"Petrol","1.6 FSI (115 PS)","Car"
"Audi A3 (S,SE, Sport,quattro)",0,"Petrol","3.2 V6 quattro (250 PS)","Car"
"Audi A3 (from NOV 06 Wk 45 >)",0,"Petrol","1.6 102ps","Car"
"Audi A3 (quattro) From 2003",0,"Petrol","3.2 V6 quattro (250 PS)","Car"
"Audi A3 Cabriolet",0,"Petrol","1.8 TFSI 160PS","Car"
"Audi A3 S",0,"Petrol","1.6 FSI (115 PS)","Car"
"Audi A3 S line",0,"Petrol","3.2 V6 quattro (250 PS)","Car"
"Audi A3 SE",0,"Petrol","1.6 FSI (115 PS)","Car"
"Audi A3 Sport",0,"Petrol","3.2 V6 quattro (250 PS)","Car"
"Audi A3 Sportback",0,"Petrol","1.8 TFSI 160PS","Car"
"Audi A3 Sportback (from NOV 06 Wk 45 >)",0,"Petrol","1.6 102ps","Car"
"Audi A3 Sportback S",0,"Petrol","1.6 FSI (115 PS)","Car"
"Audi A3 Sportback S line",0,"Petrol","3.2 V6 quattro (250 PS)","Car"
"Audi A3 Sportback SE",0,"Petrol","3.2 V6 quattro (250 PS)","Car"
"Audi A3 Sportback Sport",0,"Petrol","3.2 V6 quattro (250 PS)","Car"
"Audi A4 Allroad",0,"Diesel","2.0 TDI quattro 177PS 7speed S-Tronic Stop-Start","Car"
"Audi A4 Avant",0,"Petrol","2.0 TDI 140ps","Car"
"Audi A4 Avant (Standard, SE &amp; Sport)",0,"Petrol","2.0 FSI (150 PS)","Car"
"Audi A4 Avant (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps","Car"
"Audi A4 Avant S line",0,"Petrol","1.6 MPI (102 PS)","Car"
"Audi A4 Avant SE",0,"Petrol","1.6 MPI (102 PS)","Car"
"Audi A4 Saloon",0,"Petrol","1.8 TFSI 120PS","Car"
"Audi A4 Saloon (Standard, SE & Sport)",0,"Petrol","2.0 FSI (150 PS)","Car"
"Audi A4 Saloon (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps","Car"
"Audi A4 Saloon DTM EDITION",0,"Petrol","2.0 TFSI quattro (220 PS)","Car"
"Audi A4 Saloon S line",0,"Petrol","1.6 MPI (102 PS)","Car"
"Audi A4 Saloon SE",0,"Petrol","1.6 MPI (102 PS)","Car"
"Audi A5 Cabriolet",0,"Petrol","1.8 TFSI 170PS Multitronic","Car"
"Audi A5 Coupé",0,"Petrol","1.8 TFSI 170PS","Car"
"Audi A5 Sportback",0,"Diesel","2.0 TFSI 211PS","Car"
"Audi A6 Allroad",0,"Diesel","3.0 TDI quattro V6 204PS 7speed S-Tronic","Car"
"Audi A6 Avant",0,"Diesel","2.0 TFSI 170ps","Car"
"Audi A6 Avant  (SE & Sport)",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)","Car"
"Audi A6 Avant  (SE &amp; Sport)",0,"Petrol","2.5 V6 (163 PS)","Car"
"Audi A6 Avant  (Standard, SE & Sport)",0,"Petrol","1.9 TDI PD (130 PS)","Car"
"Audi A6 Avant (Available From July 2001)",0,"Petrol","1.9 TDI (130 bhp)","Car"
"Audi A6 Avant (Standard, SE &amp; Sport)",0,"Petrol","1.9 TDI (130 PS)","Car"
"Audi A6 Avant (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps","Car"
"Audi A6 Avant RS6",0,"Petrol","4.2 V8 quattro (450 PS)","Car"
"Audi A6 Avant S line",0,"Petrol","2.0 TDI (140 PS)","Car"
"Audi A6 Avant SE",0,"Petrol","2.0 TDI (140 PS)","Car"
"Audi A6 Avant SE & S line",0,"Petrol","2.0 TDI (140 PS)","Car"
"Audi A6 Saloon",0,"Diesel","2.0 TFSI 170ps","Car"
"Audi A6 Saloon  (SE & Sport)",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)","Car"
"Audi A6 Saloon  (SE &amp; Sport)",0,"Petrol","2.5 V6 TDI Quattro (180 PS)","Car"
"Audi A6 Saloon  (Standard, SE & Sport)",0,"Petrol","1.9 TDI PD (130 PS)","Car"
"Audi A6 Saloon ( from June 2004 )",0,"Petrol","2.4 V6 (177 PS)","Car"
"Audi A6 Saloon (Available From July 2001)",0,"Petrol","1.9 TDI (130 bhp)","Car"
"Audi A6 Saloon (Standard, SE &amp; Sport)",0,"Petrol","1.9 TDI (130 PS)","Car"
"Audi A6 Saloon (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TDI 140ps","Car"
"Audi A6 Saloon RS6",0,"Petrol","4.2 V8 quattro (450 PS)","Car"
"Audi A6 Saloon S line",0,"Petrol","2.0 TDI (140 PS)","Car"
"Audi A6 Saloon SE",0,"Petrol","3.0 TDI V6 quattro Tiptronic (225 PS)","Car"
"Audi A6 Saloon SE & S line",0,"Petrol","2.0 TDI (140 PS)","Car"
"Audi A7",0,"Petrol","2.8 V6 FSI 204PS quattro S-Tronic","Car"
"Audi A7 Sportback",0,"Diesel","3.0 V6 TDI 204PS 8speed Multitronic","Car"
"Audi A8",0,"Petrol","4.2 V8 quattro (335 PS)","Car"
"Audi A8 (from NOV 06 Wk 45 >)",0,"Petrol","3.0 V6 TDI 233ps quattro Tiptronic","Car"
"Audi A8 Hybrid",0,"Petrol Hybrid","2.0 TFSI  210PS 8speed S-Tronic LWB","Car"
"Audi Allroad",0,"Diesel","3.0 V6 TDI 233ps quattro","Car"
"Audi Allroad (from NOV 06 Wk 45 >)",0,"Petrol","3.0 V6 TDI 233ps quattro","Car"
"Audi Audi 'S' Quattro Series",0,"Petrol","S3 1.8 T Quattro 210bhp","Car"
"Audi Audi 'S' Series",0,"Petrol","New S4 4.2 V8 (344 PS) quattro Avant","Car"
"Audi Audi A2 (Standard & SE)",0,"Petrol","1.4 (75 bhp)","Car"
"Audi Audi A2 (Standard, SE & Sport)",0,"Petrol","1.4 (75 bhp)","Car"
"Audi Audi A3 (3 & 5 door Sport Quattro)",0,"Petrol","1.8T Quattro (180 bhp)","Car"
"Audi Audi A3 (3 & 5 door, S, SE, Sport and Sport Quattro)",0,"Petrol","1.6 (102 bhp)","Car"
"Audi Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",0,"Petrol","1.6 101bhp","Car"
"Audi Audi A3 (3 & 5 door, Standard SE & Sport)",0,"Diesel","1.9 TDI  (100 bhp)","Car"
"Audi Audi A3 (3 & 5 door, Standard, SE & Sport)",0,"Petrol","1.6 (102 bhp)","Car"
"Audi Audi A3 (3 &amp; 5 door, Standard, SE &amp; Sport)",0,"Petrol","1.6 (102 PS)","Car"
"Audi Audi A4 (S, SE & Sport)",0,"Petrol","3.0 V6 Quattro (220 bhp)","Car"
"Audi Audi A4 (Saloon, Avant & SE)",0,"Diesel","1.9 TDI 115 bhp","Car"
"Audi Audi A4 (Saloon, Avant, SE, Sport & Quattro)",0,"Petrol","1.6 101bhp","Car"
"Audi Audi A4 Avant  (Standard, SE & Sport)",0,"Petrol","1.9 TDI (130 PS)","Car"
"Audi Audi A4 Saloon (Standard, SE & Sport)",0,"Petrol","1.9 TDI (130 PS)","Car"
"Audi Audi A6 (Saloon, Avant & Quattro)",0,"Diesel","2.5 V6 TDI Quattro 180 bhp","Car"
"Audi Audi A6 (Saloon, Avant, SE & Quattro)",0,"Petrol","1.8 T 150bhp","Car"
"Audi Audi A6 Avant (SE, Sport & Quattro)",0,"Petrol","2.4 V6 Quattro (165 bhp)","Car"
"Audi Audi A6 Saloon (SE, Sport & Quattro)",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)","Car"
"Audi Audi A8 (Sport, Quattro & Quattro Sport)",0,"Petrol","2.8 V6 193bhp","Car"
"Audi Audi A8 (Standard & Sport)",0,"Petrol","2.8 V6 Quattro (194 bhp)","Car"
"Audi Audi A8 (Standard & Sport)(available until 10/02)",0,"Petrol","4.2 V8 Quattro (310 bhp)","Car"
"Audi Audi A8 (Standard & Sport)(until 10/02)",0,"Petrol","2.8 V6 Quattro Tiptronic (194 PS)","Car"
"Audi Audi Allroad",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)","Car"
"Audi Audi Allroad (Low & High Ration Transmission)",0,"Petrol","2.5 V6 TDI Quattro (180 bhp)","Car"
"Audi Audi Allroad (Up to June 2005)",0,"Petrol","2.5 TDI V6 quattro (180 PS)","Car"
"Audi Audi Cabriolet",0,"Petrol","2.4 V6 (170 PS)","Car"
"Audi Audi Cabriolet & Convertible",0,"Petrol","2.6 V6 150bhp","Car"
"Audi Audi RS4",0,"Petrol","2.7 V6 Quattro (380 bhp)","Car"
"Audi Audi TT (Coupé & Roadster)",0,"Petrol","1.8 20v T Coupé 180bhp Quattro","Car"
"Audi Audi TT (Coupé)",0,"Petrol","1.8 20v T Quattro (180 bhp)","Car"
"Audi Audi TT (Roadster)",0,"Petrol","1.8 20v T Quattro (180 bhp)","Car"
"Audi Cabriolet",0,"Petrol","2.0 TFSI 200ps","Car"
"Audi Cabriolet (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TFSI 200ps","Car"
"Audi Coupé TTS",0,"Petrol","2.0 TFSI quattro 272ps","Car"
"Audi New A3",0,"Diesel","1.6 TDI 105PS","Car"
"Audi New A3 Sportback",0,"Petrol","1.6 TDI 105PS","Car"
"Audi New A4 Avant",0,"Petrol","2.0 TDI 143PS Multitronic with DPF","Car"
"Audi New A4 Saloon",0,"Petrol","2.7 V6 TDI 190ps Multitronic with DPF","Car"
"Audi New A6 Avant",0,"Diesel","3.0 V6 TDI 245PS quattro S-Tronic","Car"
"Audi New A6 Saloon",0,"Diesel","2.0 TDI 177PS","Car"
"Audi Q3",0,"Diesel","2.0 TDI 140PS","Car"
"Audi Q5",0,"Diesel","3.0 V6 TDI quattro 240PS 7speed S-Tronic","Car"
"Audi Q7",0,"Diesel","4.2 V8 TDI 340PS quattro 8speed Tiptronic","Car"
"Audi Q7 (from NOV 06 Wk 45 >)",0,"Petrol","3.0 V6 TDI 233ps quattro Tiptronic","Car"
"Audi R8",0,"Petrol","4.2 V8 quattro 420ps","Car"
"Audi R8 Coupé",0,"Petrol","5.2 V10 FSI quattro 525PS","Car"
"Audi R8 GT",0,"Petrol","5.2 V10 quattro 560PS Coupé","Car"
"Audi R8 Spyder",0,"Petrol","4.2 V8 FSI quattro 430PS","Car"
"Audi RS 4 Saloon",0,"Petrol","4.2 V8 quattro (420 PS)","Car"
"Audi RS Series , 2013",0,"Petrol","RS4 Avant 4.2 V8 FSI quattro 450PS 7speed S-Tronic","Car"
"Audi RS6",0,"Petrol","5.0 V10 quattro 580PS Tiptronic Avant","Car"
"Audi Roadster TTS",0,"Petrol","2.0 TFSI quattro 272ps","Car"
"Audi S Series",0,"Petrol","RS4 4.2 V8 quattro 420ps Avant","Car"
"Audi S3 (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TFSI 265ps quattro","Car"
"Audi TT Coupé",0,"Petrol","TTS 2.0 TFSI quattro 272PS","Car"
"Audi TT Coupé (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TFSI 200ps","Car"
"Audi TT RS",0,"Petrol","2.5 T FSI quattro 340PS Coupé","Car"
"Audi TT RS Coupé",0,"Petrol","2.5 TFSI quattro 340ps","Car"
"Audi TT RS Roadster",0,"Petrol","2.5 TFSI quattro 340ps","Car"
"Audi TT Roadster",0,"Petrol","1.8 TFSI 160PS","Car"
"Audi TT Roadster (from NOV 06 Wk 45 >)",0,"Petrol","2.0 TFSI 200ps","Car"
"Audi TTS Coupé",0,"Petrol","2.0 TFSI quattro 272ps","Car"
"Audi TTS Roadster",0,"Petrol","2.0 TFSI quattro 272ps","Car"
"Audi allroad",0,"Diesel","2.5 TDI V6 quattro Tiptronic (180 PS)","Car"
