"Description","Elevation","Latitude","Longitude"
"Fiemme_Fassa_trk 1",798.1,46.271298,11.415713
"Fiemme_Fassa_trk 2",803.2,46.271062,11.415819
"Fiemme_Fassa_trk 3",805.3,46.270989,11.415842
"Fiemme_Fassa_trk 4",812.6,46.270767,11.415728
"Fiemme_Fassa_trk 5",812.0,46.270836,11.415407
"Fiemme_Fassa_trk 6",811.2,46.270914,11.415138
"Fiemme_Fassa_trk 7",811.5,46.270936,11.41497
"Fiemme_Fassa_trk 8",813.6,46.270892,11.41489
"Fiemme_Fassa_trk 9",816.5,46.270831,11.414797
"Fiemme_Fassa_trk 10",819.3,46.27078,11.41469
"Fiemme_Fassa_trk 11",821.9,46.270727,11.41461
"Fiemme_Fassa_trk 12",824.9,46.270649,11.41449
"Fiemme_Fassa_trk 13",826.2,46.270614,11.414437
"Fiemme_Fassa_trk 14",827.1,46.270588,11.414397
"Fiemme_Fassa_trk 15",828.1,46.270561,11.414383
"Fiemme_Fassa_trk 16",829.1,46.270534,11.414381
"Fiemme_Fassa_trk 17",830.8,46.270489,11.414379
"Fiemme_Fassa_trk 18",832.3,46.270452,11.414417
"Fiemme_Fassa_trk 19",833.0,46.270434,11.414442
"Fiemme_Fassa_trk 20",833.7,46.270416,11.414454
"Fiemme_Fassa_trk 21",835.3,46.270369,11.414517
"Fiemme_Fassa_trk 22",837.5,46.270295,11.414643
"Fiemme_Fassa_trk 23",837.3,46.270274,11.414785
"Fiemme_Fassa_trk 24",837.9,46.270225,11.414978
"Fiemme_Fassa_trk 25",838.2,46.270193,11.415184
"Fiemme_Fassa_trk 26",838.8,46.270162,11.415364
"Fiemme_Fassa_trk 27",838.7,46.27014,11.415571
"Fiemme_Fassa_trk 28",838.4,46.270116,11.415868
"Fiemme_Fassa_trk 29",837.1,46.270109,11.41618
"Fiemme_Fassa_trk 30",837.0,46.270093,11.416503
"Fiemme_Fassa_trk 31",836.1,46.270097,11.416763
"Fiemme_Fassa_trk 32",834.7,46.270109,11.417036
"Fiemme_Fassa_trk 33",833.0,46.270156,11.417778
"Fiemme_Fassa_trk 34",831.7,46.270202,11.418182
"Fiemme_Fassa_trk 35",832.1,46.270199,11.418312
"Fiemme_Fassa_trk 36",832.6,46.270196,11.418468
"Fiemme_Fassa_trk 37",833.3,46.270192,11.418649
"Fiemme_Fassa_trk 38",834.4,46.270169,11.418882
"Fiemme_Fassa_trk 39",834.0,46.270176,11.418973
"Fiemme_Fassa_trk 40",832.7,46.2702,11.419117
"Fiemme_Fassa_trk 41",830.5,46.270242,11.419274
"Fiemme_Fassa_trk 42",827.6,46.270301,11.419446
"Fiemme_Fassa_trk 43",824.6,46.270361,11.419604
"Fiemme_Fassa_trk 44",823.5,46.270385,11.419722
"Fiemme_Fassa_trk 45",822.0,46.270418,11.419892
"Fiemme_Fassa_trk 46",821.5,46.270435,11.419945
"Fiemme_Fassa_trk 47",820.7,46.270564,11.420638
"Fiemme_Fassa_trk 48",823.3,46.270627,11.421056
"Fiemme_Fassa_trk 49",823.3,46.270636,11.421083
"Fiemme_Fassa_trk 50",825.2,46.270649,11.421278
"Fiemme_Fassa_trk 51",831.6,46.270695,11.421682
"Fiemme_Fassa_trk 52",835.8,46.270742,11.422009
"Fiemme_Fassa_trk 53",843.3,46.270838,11.422571
"Fiemme_Fassa_trk 54",848.0,46.270834,11.422766
"Fiemme_Fassa_trk 55",849.6,46.270832,11.42283
"Fiemme_Fassa_trk 56",853.1,46.27082,11.422973
"Fiemme_Fassa_trk 57",859.0,46.270804,11.423335
"Fiemme_Fassa_trk 58",876.1,46.27076,11.424566
"Fiemme_Fassa_trk 59",877.2,46.27075,11.425007
"Fiemme_Fassa_trk 60",874.8,46.270778,11.425372
"Fiemme_Fassa_trk 61",872.7,46.27081,11.425581
"Fiemme_Fassa_trk 62",872.2,46.270818,11.42562
"Fiemme_Fassa_trk 63",862.8,46.270981,11.426432
"Fiemme_Fassa_trk 64",863.5,46.271019,11.426784
"Fiemme_Fassa_trk 65",860.8,46.271085,11.42706
"Fiemme_Fassa_trk 66",856.9,46.27116,11.427336
"Fiemme_Fassa_trk 67",852.3,46.271269,11.427691
"Fiemme_Fassa_trk 68",849.5,46.271549,11.428508
"Fiemme_Fassa_trk 69",849.1,46.271633,11.428784
"Fiemme_Fassa_trk 70",842.0,46.271982,11.429747
"Fiemme_Fassa_trk 71",844.5,46.272312,11.430696
"Fiemme_Fassa_trk 72",843.6,46.272364,11.430802
"Fiemme_Fassa_trk 73",843.8,46.272397,11.430933
"Fiemme_Fassa_trk 74",845.6,46.272461,11.431313
"Fiemme_Fassa_trk 75",847.1,46.272502,11.431522
"Fiemme_Fassa_trk 76",852.3,46.272538,11.431926
"Fiemme_Fassa_trk 77",855.0,46.272578,11.432187
"Fiemme_Fassa_trk 78",856.0,46.272594,11.432279
"Fiemme_Fassa_trk 79",853.5,46.272664,11.43236
"Fiemme_Fassa_trk 80",848.3,46.272795,11.432534
"Fiemme_Fassa_trk 81",843.5,46.2729,11.432695
"Fiemme_Fassa_trk 82",842.7,46.272976,11.432906
"Fiemme_Fassa_trk 83",844.0,46.273095,11.433235
"Fiemme_Fassa_trk 84",842.6,46.273182,11.433382
"Fiemme_Fassa_trk 85",837.4,46.273358,11.433598
"Fiemme_Fassa_trk 86",833.3,46.27348,11.433772
"Fiemme_Fassa_trk 87",831.6,46.273541,11.433865
"Fiemme_Fassa_trk 88",831.4,46.273583,11.433997
"Fiemme_Fassa_trk 89",832.0,46.273658,11.434299
"Fiemme_Fassa_trk 90",833.3,46.273731,11.43464
"Fiemme_Fassa_trk 91",838.7,46.273796,11.434967
"Fiemme_Fassa_trk 92",842.6,46.273916,11.435297
"Fiemme_Fassa_trk 93",843.5,46.274054,11.435562
"Fiemme_Fassa_trk 94",839.8,46.274351,11.436004
"Fiemme_Fassa_trk 95",834.4,46.274544,11.43622
"Fiemme_Fassa_trk 96",833.4,46.274613,11.43634
"Fiemme_Fassa_trk 97",834.3,46.274681,11.436538
"Fiemme_Fassa_trk 98",834.7,46.274775,11.43675
"Fiemme_Fassa_trk 99",836.1,46.274808,11.43692
"Fiemme_Fassa_trk 100",838.9,46.274821,11.437128
"Fiemme_Fassa_trk 101",843.9,46.27486,11.437441
"Fiemme_Fassa_trk 102",848.1,46.27496,11.437809
"Fiemme_Fassa_trk 103",850.1,46.275045,11.438059
"Fiemme_Fassa_trk 104",850.7,46.275096,11.438191
"Fiemme_Fassa_trk 105",850.0,46.275174,11.438299
"Fiemme_Fassa_trk 106",846.7,46.275316,11.438396
"Fiemme_Fassa_trk 107",843.6,46.275432,11.438453
"Fiemme_Fassa_trk 108",842.6,46.275511,11.438547
"Fiemme_Fassa_trk 109",839.9,46.27567,11.43871
"Fiemme_Fassa_trk 110",837.0,46.275801,11.438872
"Fiemme_Fassa_trk 111",833.7,46.275941,11.43906
"Fiemme_Fassa_trk 112",832.6,46.276001,11.439192
"Fiemme_Fassa_trk 113",831.7,46.276061,11.439325
"Fiemme_Fassa_trk 114",830.7,46.276122,11.439457
"Fiemme_Fassa_trk 115",829.2,46.276242,11.439748
"Fiemme_Fassa_trk 116",829.4,46.276345,11.439947
"Fiemme_Fassa_trk 117",829.7,46.276441,11.44012
"Fiemme_Fassa_trk 118",829.8,46.276562,11.44032
"Fiemme_Fassa_trk 119",829.7,46.276641,11.440441
"Fiemme_Fassa_trk 120",828.8,46.276763,11.440628
"Fiemme_Fassa_trk 121",828.2,46.276852,11.440684
