"lat","lon","name"
46.0603555,11.241622,"Libreria Athena"
46.0709029,11.1258608,"Libreria Einaudi"
46.0656481,11.1237552,"Libreria Giuffrè"
46.0664051,11.1224302,"Viaggeria"
46.0664367,11.1225134,"Alternativa"
46.062727,11.1236388,"Libreria UBIK"
46.0687855,11.1226407,"Giunti al Punto"
46.064157,11.1235403,"Ancora"
45.9177095,10.8841328,"Tipografia-Cartoleria-Libreria Andreatta"
46.1335043,11.2463666,
46.0664807,11.1164357,"Drake"
46.3660464,11.0330717,"La Cattedra"
46.067927,11.1248804,"Libreria Scala"
46.214076,11.0900625,"Cartolibreria Jolly"
46.0679278,11.1215209,"Libreria Benigni"
46.0679845,11.2239137,"Giunti"
46.0697802,11.1245056,"Mondadori"
45.9290266,11.0708839,"Tabaccheria Giornali"
46.0941511,11.1151098,"Giunti al Punto"
46.0729934,11.1265059,"Bookique"
46.1429485,10.9659886,
45.8696277,10.8757222,"Tabacchi"
45.8908446,11.041986,"Biblioteca Rosminiana"
46.1383584,11.1149916,"La Pulce d'Acqua"
46.0727303,11.1252488,"Rileggo"
46.072516,11.1252034,"due punti libreria laboratorio"
46.175764,11.829336,"Mostra del libro"
45.8863655,10.8419119,"Libreria Giunti"
46.0644622,11.1205835,"Studio Bibliografico Adige"
45.8861155,10.8408306,"Studio Bibliografico Benacense"
45.8894126,11.0446363,"io e libri siamo qui"
46.0115138,11.301361,"La Piccola Libreria"
45.8899949,11.0435438,"Eden Librerie"
46.2626416,11.8027117,
45.8901492,11.0421358,"Giunti al Punto"
46.0539709,11.4561987,"Libreria Il Ponte"
46.0532164,11.4588228,"Libreria Tecnica"
46.0445046,11.1299868,"Libreria dell'usato Scambi D'Autore"
46.0640454,11.233578,
46.3027368,11.4561351,"Giornali e Tabacchi Defrancesco Angela"
46.0719297,11.1251834,"Sogni di Carta"
45.9194298,10.8862578,"Libreria Cartoleria Cazzaniga"
