"lat","lon","name"
46.0444043,11.1306452,
46.1408289,11.1076826,"Sartori"
46.0742154,11.1246636,
46.1458965,11.0956285,"Fontana Gomme"
46.0939924,11.1137085,"Car Glass"
45.9036025,10.8640317,"Bertamini"
45.912593,10.8576816,"Garda Gomme"
46.1283884,11.1054461,"Carrozzeria Largher"
46.0639973,11.1503938,"Autodelta Di Zordan Romeo"
45.9086001,10.8686942,"Doctor Glass"
46.0795919,11.1224761,"Doctor Glass"
46.1122266,11.210528,
46.1504061,11.792816,
45.9127529,11.0325005,"Revisione autoveicoli"
46.2716291,11.4141222,
45.9131683,10.9053253,"Nuova Motomeccanica di Tonelli Edoardo e F.LLI Tamburini S.n.c"
46.1283355,11.2385641,
45.9183888,10.8863841,"Officina Garage Centrale Zamboni"
46.1808222,11.0199669,"Carrozzeria Tanel"
46.2878889,11.4453119,"Autofficina di Bonelli Gabriele"
46.2879266,11.4423499,"Carrozzeria Fiemme"
46.2891467,11.4524154,"Autofficina Mozzini"
46.2159926,11.0923497,"Officina Autoriparazioni Eccher Christian"
46.2153981,11.0891291,
46.4430542,11.6961413,"Bernard Claudio"
46.4425115,11.6959805,"Carrozzeria Da Franco"
46.2151595,11.0885064,"Renault"
46.0831199,11.1199659,"Officina Odorizzi"
45.8760043,10.9326113,"Officina Vicenzi"
46.0745336,11.1253703,"Officina Zogno Paolo"
45.8714401,10.8753476,
46.2055172,11.1185967,"Postal Umberto"
46.1102445,10.7479007,"Cozzio"
46.065161,11.1187656,"Officina Lorenzo"
46.0991843,11.1033113,"Casa del Contachilometri"
46.1028895,11.1000055,"Officina Modenese ACI"
46.0337794,11.1319253,"Bimotor - Officina"
46.2717263,11.4185718,"Dondio"
46.0730621,11.0580159,"Officina Tecnomotor"
46.1158113,11.092273,"Autronic"
46.1155882,11.0925091,"Automotive Specialist"
46.2074248,11.1243737,"Ribiani"
46.1308694,11.2457474,
46.131972,11.2464663,"Ferramenta Ioriatti Arrigo"
46.0775201,11.11917,"Carrozzeria Ronc"
46.0865497,11.1225482,"Carrozzeria Sprint"
46.1331431,11.0884416,
46.162936,10.7567527,"Officina Cereghini"
46.0649115,11.1184861,
46.0519363,11.1190205,
45.8972164,11.0326226,"Carrozzeria Berto"
45.8972722,11.0324262,"Claudio Zoner"
46.0306105,10.7243763,"Officina Valentini"
46.3500518,11.0512298,"Valentini"
45.7582062,11.0030304,"Automoto meccanica Zomer"
46.075548,11.1051204,"Officina Tosini"
46.1030854,11.1003765,"Autofficina A.B.M. s.n.c. di Manca Mario & C."
45.8868095,11.0309484,"Autofficina Santacaterina"
46.0440567,11.1494177,
46.1464478,11.0971867,"Pneus Center"
45.7825517,11.1187273,
45.7945479,11.1069363,"Zendri"
45.8535634,10.9705008,
45.8478506,10.9850133,"Carrozzeria Autofficina Vianini"
46.3302064,10.8761181,"Fratelli Largaiolli"
46.0480523,11.1138959,"Esso Trento Ovest"
46.0737174,11.1148299,"Trapasso"
45.931141,10.6379535,"Aricocchi Autofficina"
46.399695,11.671798,"Carrozzeria Crepaz"
46.4005559,11.671839,"Autocar Valfassa"
46.314962,11.0692185,"Gottardi"
45.83246,10.5416754,"Carrozzeria Berti"
46.0791039,11.5794285,"Auto Tesino"
46.0497126,11.446481,"Autocentro 3000"
45.7554212,11.0175273,"Zomer Mariano"
46.0757333,11.1194006,"Astra"
46.0751131,11.1179986,"Ianes"
46.1459882,11.0944909,"Officina Meccanica Da Franco"
46.1557069,11.8135921,"Autoriparazioni F.lli Romagna"
46.0639394,11.2304713,"Peugeot"
46.0692855,11.2379465,"Carrozzeria Bernardi"
46.0563091,11.2367235,"Carrozzeria Avancini"
46.2897981,11.4640848,"Gianmoena"
46.0612164,11.1168042,"Carrozzeria Ianesselli"
46.0513688,11.4843262,
46.0489888,11.4749589,
46.0488238,11.4760533,
46.0507427,11.4853793,
46.1386687,11.1063085,"Officina Ottanta"
46.1238708,11.2490293,"Sighel Claudio e Nicola Riparazioni"
46.3506444,11.0286561,"Autosoccorso ACI Autofficina Autoanaune"
46.1951016,11.1009833,"Carrozzeria Pallanch"
45.903407,10.8636962,"Nuova Carrozzeria Appoloni"
45.9037073,10.8633485,"Citroën Riparatore Autorizzato"
46.3263069,10.8679004,"Aci - centro delegato"
46.0497551,11.4468258,"K&G Autoriparazioni"
46.0419025,11.4171727,"Autofficina Zadra"
46.2086236,11.0936596,
46.0363684,10.862526,"Lucchesa Giuseppe"
46.0364716,10.8620765,"Fenice"
46.3068802,11.5954925,"Diemmecar"
46.0666628,11.4846285,"Officina Rattin"
46.4211577,11.6755602,"Pneuservice C. Cigolla"
46.0132381,11.1288259,"Officina Dematté"
46.0127558,11.128001,"Carrozzeria Luca Fellin"
46.4096885,11.6772446,"Bosch Car Service"
46.1440522,11.0946264,"Officina Automax"
46.0141907,11.6239115,"Dalla Palma squadra corse"
46.1092998,11.1066635,"Zancanella"
45.8936845,11.0328705,
45.8936788,11.0326237,
45.8973565,11.0319137,"Carrozzeria Gottardi"
45.897541,11.0314791,"Autofficina Motor Garage"
