"lat","lon","operator"
46.0366441,11.1144243,"Enel"
46.2716435,11.4191672,
45.8932949,11.0357234,"Dolomiti Energia"
46.1509671,11.7993041,"Azienda Consorziale Servizi Municipalizzati S.p.A."
46.0535,11.4541031,
45.8942377,11.0435124,"Dolomiti Energia"
46.313331,10.800276,"Route220"
46.0505129,11.4420158,"Dolomiti Energia"
46.290416,11.4645784,"Dolomiti Energia"
46.0737114,11.1207618,"evway"
45.883588,11.0214315,"evway"
46.3632398,11.0972902,
46.0625486,11.6339719,
46.1116624,11.0917558,"Tesla Motors"
46.2243532,10.828073,
46.0615848,11.1158332,
46.0890395,11.1237692,"Delta Energy"
46.0985066,11.0534815,
46.1634049,10.765551,
46.1555859,10.7565491,
46.1248283,10.7564107,
46.0764281,10.7243423,
46.041294,10.7313103,
46.4405103,11.1367805,
46.4168159,11.2074316,
45.8776343,10.5943761,
45.9280932,10.6356728,
46.0637297,11.524178,
46.0617371,11.2379531,"Comune di Pergine Valsugana"
46.0900799,11.1185637,"evway"
45.9198022,10.8837856,"Hotel Pace 1954"
46.2103071,11.0943568,
45.8155059,10.9557376,
45.9177566,11.0348746,"ENEL"
46.140397,11.1063815,
45.8783256,11.1546649,"Alperia Smart Mobility"
45.8517584,11.1290989,"Malga Valli"
45.8710326,10.8744934,
45.960048,10.9134879,
45.8485003,11.0015568,"A22"
45.9078934,11.0408048,
46.2246782,10.8283516,
46.1401489,11.0852793,"A22"
46.1405363,11.0875516,"A22"
45.8485497,11.0015378,"A22"
45.8486011,11.0015123,"A22"
