"Id del ";"Strada ";"Comune ";"Km da ";"Km a "
499;"SP 90 1配ronco";"ALA";17.31;18.03
498;"SP 22";"ALA";0.0;0.2
495;"SP 90 1配ronco";"ALA";10.565;11.37
493;"SP 90 1配ronco dir Ala";"ALA";0.27;0.63
496;"SP 90 1配ronco";"ALA";14.085;14.79
492;"SS 12";"ALA";336.588;338.8
497;"SP 90 1配ronco";"ALA";16.546;17.31
129;"SP 76";"ALBIANO";10.627;13.078
698;"SP 25";"ALDENO";0.0;0.679
130;"SP 26 dir";"AMBLAR";0.052;0.168
699;"SP 64";"ANDALO";15.36;17.002
700;"SS 421";"ANDALO";14.02;15.5
8;"SS 240 dir";"ARCO";3.75;4.7
7;"SS 249";"ARCO";99.0;100.4
132;"SP 48";"ARCO";0.0;0.85
5;"SS 45 bis";"ARCO";116.8;120.2
131;"SP 36";"ARCO";1.73;4.396
133;"SP 118";"ARCO";2.15;3.75
6;"SS 240 dir";"ARCO";5.0;5.63
136;"SP 208";"AVIO";0.0;1.2
135;"SP 90 1配ronco";"AVIO";3.2;6.65
137;"SP 27";"BERSONE";5.726;6.4
551;"SS 350";"BESENELLO";2.125;2.758
550;"SP 49";"BESENELLO";0.0;1.778
440;"SP 119 dir";"BEZZECCA";0.44;0.942
439;"SS 240";"BEZZECCA";34.36;35.25
139;"SP 78";"BIENO";6.656;7.37
145;"SP 5";"BLEGGIO SUPERIORE";3.517;4.079
512;"SP 5";"BLEGGIO SUPERIORE";3.517;4.079
515;"SP 222";"BLEGGIO SUPERIORE";1.12;1.63
513;"SP 5";"BLEGGIO SUPERIORE";4.079;4.535
146;"SP 5";"BLEGGIO SUPERIORE";4.197;4.535
147;"SP 5";"BLEGGIO SUPERIORE";5.75;6.1
360;"SP 222";"BLEGGIO SUPERIORE";1.12;1.63
426;"SP 5";"BLEGGIO SUPERIORE";3.517;4.079
428;"SP 5";"BLEGGIO SUPERIORE";5.75;6.1
427;"SP 5";"BLEGGIO SUPERIORE";4.197;4.535
514;"SP 5";"BLEGGIO SUPERIORE";5.75;6.1
148;"SP 236";"BOCENAGO";2.267;3.402
457;"SP 222";"BOLBENO";11.025;11.49
361;"SP 222";"BOLBENO";9.706;10.165
17;"SS 237";"BONDO";79.73;80.85
150;"SP 69";"BONDONE";4.8;6.0
151;"SP 69";"BONDONE";10.0;10.66
154;"SP 244";"BORGO VALSUGANA";0.0;0.9
155;"SP 110";"BORGO VALSUGANA";0.0;0.885
156;"SP 109";"BORGO VALSUGANA";2.81;5.27
152;"SP 40";"BORGO VALSUGANA";0.0;1.05
153;"SP 40";"BORGO VALSUGANA";1.05;1.41
157;"SP 1 dir";"BOSENTINO";2.275;3.048
362;"SS 237";"BREGUZZO";80.835;82.17
18;"SS 237";"BREGUZZO";80.9;82.1
480;"SP 22";"BRENTONICO";5.745;6.17
472;"SP 3";"BRENTONICO";7.37;9.15
476;"SP 22 dir";"BRENTONICO";5.15;5.241
482;"SP 3";"BRENTONICO";14.45;16.01
481;"SP 218";"BRENTONICO";10.79;11.227
474;"SP 218";"BRENTONICO";0.0;0.22
477;"SP 22 dir";"BRENTONICO";3.05;3.33
473;"SP 22";"BRENTONICO";7.48;7.678
483;"SP 3";"BRENTONICO";17.72;18.32
484;"SP 208";"BRENTONICO";15.97;16.215
475;"SP 218";"BRENTONICO";3.35;3.69
572;"SP 68";"BRESIMO";3.21;3.475
544;"SS 42";"BREZ";202.99;203.9
455;"SP 43 dir Brez";"BREZ";2.113;2.588
450;"SS 42";"BREZ";202.99;203.77
548;"SP 43 dir Brez";"BREZ";1.01;1.3
545;"SP 43 dir Brez";"BREZ";2.6;2.967
452;"SS 42";"BREZ";202.0;202.4
547;"SP 43";"BREZ";2.58;2.95
451;"SP 43 dir Brez";"BREZ";2.6;2.967
549;"SP 43 dir Brez";"BREZ";2.113;2.558
695;"SP 43";"BREZ";2.58;3.1
692;"SS 42";"BREZ";202.99;203.9
693;"SP 43 dir Brez";"BREZ";2.6;2.967
546;"SS 42";"BREZ";202.0;202.4
694;"SS 42";"BREZ";202.0;202.4
696;"SP 43 dir Brez";"BREZ";1.01;1.3
453;"SP 43";"BREZ";2.58;2.95
697;"SP 43 dir Brez";"BREZ";2.113;2.558
454;"SP 43 dir Brez";"BREZ";1.01;1.3
158;"SP 123";"BRIONE";5.4;5.738
19;"SS 239";"CADERZONE";34.35;35.25
364;"SS 237";"CALAVINO";109.5;110.418
160;"SP 1 dir";"CALCERANICA AL LAGO";0.0;0.855
159;"SP 1";"CALCERANICA AL LAGO";4.267;5.73
22;"SS 42";"CALDES";185.12;185.64
23;"SS 42";"CALDES";186.45;187.345
161;"SP 125";"CALDES";2.02;2.736
21;"SS 42";"CALDES";181.72;182.015
543;"SP 133 dir";"CALDONAZZO";2.093;2.425
