"id strada";"denominazione";"localita di inizio strada";"localita di fine strada";"TIPO"
250;"dell'Abetone e del Brennero";"Confine Provincia di Verona";"Confine Provincia di Bolzano";"B"
287;"dell'Abetone e del Brennero - svincoli";;;"B"
251;"del Tonale e della Mendola";"Passo Tonale";"Mendola";"B"
252;"della Val di Non";"Mostizzolo";"SS 12 - San Michele all'Adige";"B"
255;"della Val di Non diramazione Sarnonico";"S.S. 43 Dermulo";"Sarnonico";"B"
288;"della Val di Non raccordo Ronzone";;;"B"
234;"ex S.S. 43 della Val di Non tratto Sabino - Rocchetta";;;"B"
256;"della Gardesana Occidentale";"Riva del Garda (Confine Provincia di Brescia)";"Trento";"B"
343;"SS 45 bis Variante Riva";;;"B"
257;"del Pasubio";"Confine Provincia di Vicenza - Passo Pian delle Fugazze";"Rovereto";"B"
258;"del Pasubio diramazione Ossario";"Pian delle Fugazze (Vallarsa)";"Confine Provincia di Vicenza - Passo Pian delle Fugazze";"B"
259;"della Valsugana";"Confine Provincia di Vicenza ";"Melta di Gardolo -TRENTO-";"B"
295;"della Valsugana svincolo Melta";;;"B"
334;"Ex SS 47 Tracciato dismesso Martignano ";;;"B"
260;"delle Dolomiti";"Passo San Lugano (confine Bolzano)";"Passo Pordoi (confine Belluno)";"B"
261;"delle Dolomiti variante di Predazzo";"si stacca dalla S.S. 48 al km 36,950)";"si immette sulla S.S. 48 al km 38,600";"B"
341;"SS 48 Variante di Canazei";"SS 48 km 63,820";"SS 48 64,240";"B"
262;"del Grappa e Passo Rolle";"Confine Provincia di Feltre - Monte Croce o Pontèt";"Predazzo (fine S.S.)";"B"
263;"del Caffaro";"Ponte Caffaro (Confine con la Prov.di Brescia)";"SS 45 bis - Sarche ";"B"
264;"del Caffaro - svincolo";"Cà Rossa incrocio al km 59.760";"Storo incrocio al km 61,000";"B"
265;"delle Palade";"Fondo";"Tret";"B"
267;"delle Palade diramazione innesto S.S 42";;;"B"
305;"delle Palade - raccordo";"SS 238";"SS 42";"B"
268;"di Campiglio";"Dimaro";"Tione di Trento incrocio con la S.S 237 al km 85.900";"B"
269;"di Loppio e Val di Ledro";"Rovereto / Torbole";"Cà Rossa (Storo)";"B"
270;"di Loppio e Val di Ledro diramazione Nago - Arco";"Nago - SS 240";"Arco - SS 45  bis";"B"
325;"Variante di Mori ";"SP 23 casello A22 uscita Rovereto Nord";"SS 240 ";"B"
271;"della Val D'Ega e Passo Costalunga";"Passo Costalunga (confine Bolzano)";"San Giovanni (Vigo di Fassa) fine S.S.";"B"
