,latitude,longitude,brand,operator,locality,fuel:lpg,address
0,46.0958611,11.097467800000002,Eni,G. & M. di Ferrato Greta & C. S.A.S.,TRENTO,yes,"ENI, Strade dell'Interporto, zona commerciale via Maccani, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
1,46.044828700000004,11.4228045,Eni,G.M. di Grigore Marian,RONCEGNO,yes,"Agip Eni, Strada Statale 47 della Valsugana, Maso Vazzena, Larganza, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
2,46.048761400000004,11.4757382,Loro,Loro F.Lli-s.P.A.,CASTELNUOVO,yes,"Loro, SS47, Perozzi, Prai da Brenta, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
3,46.141578,11.087335000000001,Eni,Eni Fuel S.p.A.,LAVIS,yes,"Agip, Area Paganella Est, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
4,46.140584999999994,11.085712,Eni,Wecar S.A.S. di Webber Gervasio & C.,LAVIS,yes,"Agip, Area Paganella Ovest, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
5,46.2102988,11.093863800000001,Eni,Merlo Snc di Merlo Maurizio e C.,MEZZOLOMBARDO,,"Agip, Via Alcide De Gasperi, Mezzolombardo, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38017, Italia"
6,46.131214,11.110062,Eni,Pellegrini e Dalfovo Mauro S.N.C.,TRENTO,yes,"ENI, 51, Via Alto Adige, Lamar, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
7,46.079691,11.040627,Eni,Agip,TRENTO,,"Agip, Strada di Vigolo Baselga, Sant'Anna, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, Italia"
8,46.042291999999996,11.1128785,Eni,Boller Alessandro,TRENTO,,"Agip, Via del Ponte, Man Malpensada, Maso Pez, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
9,46.0552954,11.4699664,Eni,Perozzo Albino,BORGO VALSUGANA,,"Agip, 62, Corso Vicenza, Maso Beselenga, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
10,46.0807339,11.1218942,Eni,N.E.W. Agip di Nardon Walter & C. S.A.S.,TRENTO,,"Agip, Via del Brennero, Piazzina, Cristo Re, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
11,46.33591989999999,11.0624993,Eni,G.S. Ristoauto Sas di Iori Gianni & C. in Sigla G.S. Ristoauto Sas,TAIO,,"Agip, Via Santa Giustina, Predaia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
12,46.046904,11.130891499999999,Repsol,Repsol,TRENTO,yes,"Repsol, Viale Verona, Man Malpensada, San Bartolameo, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38128, Italia"
13,46.090404,11.116344,,,TRENTO,,"IP, 304, Via del Brennero, Piazzina, Nord Center, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
14,46.0823834,11.1155332,Eni,Riolfatti Luigi,TRENTO,,"Agip, Via Luigi Senesi, Piazzina, Cristo Re, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
15,45.8604836,11.0011656,Repsol,De.Ko S.A.S. di Kovacevic Esed,ROVERETO,,"H6, Via Stazione Mori, Lizzana, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
