"lat","lon","name"
46.1279337,11.2439515,
46.0769744,11.141749,"Biblioteca Comunale Argentario"
46.1921462,11.1341466,"Biblioteca Comunale di San Michele all'Adige"
46.3147658,10.7962657,"Mezzana"
46.0109924,11.3025818,"Biblioteca Comunale"
45.9408157,11.270777,"Biblioteca 'Sigmund Freud'"
46.3520556,10.691758,"Biblioteca comunale"
46.1426954,10.9641168,
46.0516272,11.1277538,"Biblioteca Clarina"
46.0604948,11.2390306,"Sala Maier"
45.8491507,10.5787783,"Biblioteca comunale Nino Scaglia"
46.1754862,11.2212842,"Biblioteca Palazzo Maffei"
46.1380999,11.1136361,
46.3952797,11.121074,"Biblioteca Don Fabio Fattor"
46.1763325,11.8302203,"Biblioteca Intercomunale Di Primiero"
45.8175528,10.9540848,"Biblioteca"
45.8083746,10.5405423,
46.0663863,11.1305997,"Il papiro"
45.9204214,10.8888687,"Biblioteca di Arco"
46.0886643,11.1818205,
46.1832646,11.028131,"Biblioteca Comunale di Cavedago"
45.9356343,11.0937547,"Biblioteca di Calliano"
46.2638058,11.3384514,"Casa della Lettura"
45.8852272,10.8414238,"Biblioteca Comunale"
46.476649,11.7730044,
46.2134435,11.0916158,
46.2485123,11.1699249,"Biblioteca Comunale"
46.2651978,11.0859918,
45.8694883,11.0732759,
46.064353,11.139099,"Biblioteca di Ingegneria"
46.0060602,11.1278038,"Biblioteca comunale / Sede di Mattarello"
46.3372496,11.1151496,
45.9280506,11.0705273,
46.0627443,11.1242907,"Biblioteche dell'Istituto Storico Italo-Germanico e del Centro per le Scienze Religiose"
46.2177502,11.0465207,
46.1561601,11.731898,"Biblioteca comunale"
46.1171564,11.2074635,"Biblioteca"
45.884635,11.008366,"Biblioteca Comunale"
46.2975747,10.6952416,
45.9409745,10.6389686,"Biblioteca Comunale"
45.8885457,10.5989734,"Biblioteca di Condino"
45.9917694,11.2625965,
46.3263779,10.8757326,
45.7566501,11.005622,"Biblioteca comunale"
46.0710611,11.4791396,"Biblioteca Telve"
46.1941065,11.1361792,"Biblioteca Fondazione Edmund Mach"
46.3401858,11.0458903,
46.1672907,11.1104785,
45.8516897,10.9750846,"Biblioteca Comunale"
46.0697339,11.1208988,"Archivio Storico del Comune di Trento"
46.069735,11.1209222,"Biblioteca Comunale di Trento"
46.0648792,11.1534216,"Biblioteca Comunale di Trento - Sede di Povo"
46.0508326,11.4098005,"Biblioteca Comunale"
46.0537073,11.4613911,"Biblioteca comunale di Borgo Valsugana"
46.0603519,11.2388157,"Biblioteca"
46.0631384,11.6324378,"Biblioteca comunale"
45.8775052,10.8893653,"Biblioteca di Nago"
45.7356753,10.9414725,
46.0675262,11.6052936,"Biblioteca Comunale"
46.1555035,11.8057467,"Biblioteca"
46.1516668,11.0973501,
46.2889202,11.4619717,
46.0054716,11.1997259,"Biblioteca Comunale Altopiano Della Vigolana"
46.0524538,11.4940679,"Punto cultura"
46.1265883,11.1161227,"Biblioteca di Meano"
46.0626921,11.1152767,"Gino Tomasi"
45.8956362,10.7176529,
46.0175587,10.9450448,
46.0786378,11.0004923,"Biblioteca comunale Vallelaghi"
46.0973843,11.0451693,
