"latitude","longitude","@id","name","tourism","hiking","bicycle"
46.4282115,11.6239981,"node/29883798","Pael","information",,
46.4188894,11.6303351,"node/29884556",,"information",,
46.4194003,11.6301868,"node/29884558",,"information",,
46.4806631,11.8120886,"node/29916888",,"information",,
46.4138823,11.622769,"node/60959536",,"information",,
45.7900447,10.906859,"node/262166503",,"information",,
45.9122488,10.935595,"node/268485035",,"information",,
46.0170167,11.1892191,"node/268918602","Bivacco Marzola - Vigolo Vataro","information","yes",
46.04372,11.0390221,"node/268924940",,"information",,
45.9098715,11.1033184,"node/269027257","MTB","information",,
46.4571905,11.6307848,"node/269032120",,"information",,
46.4226866,11.7913985,"node/269033825",,"information",,
46.4203008,11.7673793,"node/269034183",,"information",,
46.4177194,11.7792253,"node/269034206",,"information",,
46.476906,11.8160029,"node/269039576",,"information",,
46.4703761,11.8581799,"node/269039704",,"information",,
46.2577667,11.6451892,"node/287670840","Quota 2240","information","yes",
46.0118534,11.1963252,"node/289629720","Bivacco Marzola","information","yes",
45.8887993,11.1323862,"node/289828621",,"information","yes",
46.0238513,11.1802415,"node/290675889","Vigolo Vattaro - Rif. Maranza","information","yes",
46.0232469,11.1812418,"node/290675900","Bivacco Marzola 'Raffaele Bailoni'","information","yes",
46.4431021,11.6925925,"node/294111737",,"information",,
46.4422069,11.6930711,"node/294160051","Col de la Ciaure","information",,
45.9535793,10.9348174,"node/296087637",,"information",,
46.4361647,11.7587871,"node/297615985",,"information",,
46.4292197,11.7318983,"node/297616390",,"information",,
46.427838,11.7837029,"node/297617692",,"information",,
46.2201069,10.8876655,"node/300024469",,"information",,
46.4584276,11.6321696,"node/302575934",,"information",,
46.474115,11.6391532,"node/302576039",,"information",,
46.4762268,11.6695817,"node/302578494","Passo Dona","information",,
46.4806557,11.6819481,"node/302578588","Camerloi","information",,
46.4638793,11.6846451,"node/302580466",,"information",,
46.450778,11.691711,"node/302580624",,"information",,
46.4512082,11.691998,"node/302580633",,"information",,
46.450437,11.6925631,"node/302580636",,"information",,
46.4501574,11.6934997,"node/302580684","Ronch","information",,
46.444285,11.6918045,"node/302580785",,"information",,
45.9627563,11.0116284,"node/307213801","La Becca","information","yes",
45.9766702,11.1512764,"node/308828312",,"information","yes",
46.1763375,11.054507,"node/317649464",,"information","yes",
46.4374569,11.215871,"node/343854064",,"information",,
45.9135564,11.1036468,"node/366357186","MTB","information",,
45.9146213,11.1016261,"node/366357217","MTB","information",,
45.9087676,11.0934174,"node/366357394","MTB","information",,
45.9083637,11.1066703,"node/369548954","MTB","information",,
45.9075036,11.1054298,"node/369548988","MTB","information",,
45.9080227,11.1018718,"node/369549527","MTB","information",,
46.1579416,11.0660002,"node/412834808","Molinel","information",,
46.33162,11.778027,"node/419890920",,"information",,
46.351759,11.7555703,"node/419891121",,"information",,
46.3462777,11.7337667,"node/419891225",,"information",,
45.9067406,11.1053795,"node/421806674","MTB","information",,
46.053246,11.1819295,"node/424308123","Spiaz de le Patate","information",,
46.4964888,11.6341504,"node/427618703",,"information",,
46.4026996,11.6062805,"node/432776468",,"information",,
46.1764729,11.0543859,"node/433989736",,"information","yes",
46.1634826,11.0506493,"node/433989928","Meriz","information",,
46.1585196,11.0502702,"node/433997484",,"information",,
46.1568753,11.0498693,"node/433997485",,"information",,
46.1566087,11.0487113,"node/433997542",,"information",,
46.1526165,11.0474023,"node/433997543",,"information",,
46.1512089,11.0455778,"node/433997610",,"information",,
46.152745,11.0436122,"node/433997611",,"information",,
46.1555091,11.0416708,"node/433997660",,"information",,
46.1501698,11.0280602,"node/434131940",,"information",,
46.1501481,11.0273861,"node/434131943",,"information",,
46.1645297,11.0326555,"node/434132260",,"information",,
46.1730955,11.0405543,"node/434132639",,"information",,
46.1745476,11.0473043,"node/434132671","Ex Colonia Alpina","information",,
46.4292795,11.6247394,"node/437381164",,"information",,
46.0968341,10.9039571,"node/440669848",,,,
46.0874008,10.9047512,"node/440669976",,,,
46.1021135,10.9176619,"node/440669978",,,,
46.103379,10.9209017,"node/440669980",,,,
46.0876948,10.9099537,"node/440681737",,,,
46.0887266,10.9110743,"node/440681739",,,,
46.0886766,10.9112865,"node/440681741",,,,
46.0971783,10.9205086,"node/440681752",,,,
46.2061085,10.8698333,"node/443861259",,"information","yes",
46.2053313,11.182531,"node/447883790",,"information",,
46.2094699,11.1962714,"node/447885743",,"information",,
46.2031181,11.1988457,"node/447898757",,"information",,
46.2010085,11.1959916,"node/447898759",,"information",,
46.2058179,11.1969439,"node/447898792",,"information",,
46.2048337,11.1983004,"node/447898794",,"information",,
46.2157321,11.194633,"node/447910524",,"information",,
46.2159932,11.1954215,"node/447910527",,"information",,
46.2161019,11.196947,"node/447910528",,"information",,
46.2197513,11.204195,"node/447910702",,"information",,
46.2210245,11.204486,"node/447910703",,"information",,
46.4725477,11.8684933,"node/448098233",,"information",,
45.9465649,11.1846778,"node/449724228","Pralongo - Cornetto di Folgaria","information","yes",
45.9446034,11.1858861,"node/449724245","Passo Sommo","information","yes",
46.1531745,11.4392239,"node/453533651","cippo1","information",,
46.132739,11.4189222,"node/453533657",,"information",,
46.1351943,11.4216905,"node/453533663","cippo n14 WWF","information",,
46.1358402,11.4254744,"node/453533668","Cippo n 12 WWF","information",,
46.139363,11.4292074,"node/453533672","Cippo n10 WWF","information",,
46.1422769,11.4333041,"node/453533674","Cippo n9 WWF","information",,
46.1434968,11.4344517,"node/453533676","Cippo n8 WWF","information",,
46.146236,11.4363477,"node/453560760",,"information",,
46.2110785,10.843663,"node/453628349",,"information",,
46.208894,10.872049,"node/453628815",,"information",,
46.2079435,10.8688623,"node/453628818",,"information",,
46.2179339,10.8481075,"node/453629136",,"information",,
46.2222791,10.8582694,"node/453629299",,"information",,
46.2201585,10.8668302,"node/453629398",,"information",,
46.2209663,10.870815,"node/453629441",,"information",,
46.2215947,10.8725021,"node/453629455",,"information",,
46.2225581,10.8743562,"node/453629469",,"information",,
46.2226829,10.8801748,"node/453629523",,"information",,
46.2154337,10.9025749,"node/453629817","Passo del Grostè","information",,
46.1359225,10.952708,"node/455539166","Croz dei Pegolotti","information",,
46.1378194,10.957776,"node/455539168",,"information",,
46.133949,10.9482776,"node/455539171",,"information",,
46.1359136,10.9412294,"node/455539250",,,,
46.1414166,10.9023804,"node/455563470",,"information",,
46.1437086,10.9081986,"node/455563471",,"information",,
46.1427661,10.8737111,"node/455563612",,"information",,
46.142056,10.8700324,"node/455563613",,,,
46.1428909,10.9013614,"node/455582381",,"information",,
46.1538277,10.8928727,"node/455582728",,"information",,
46.1543497,10.8984018,"node/455582800",,"information",,
46.154286,10.8986617,"node/455582801",,"information",,
46.1751773,10.876314,"node/455646935","Rifugio ai Brentei","information","yes",
46.1758103,10.8765204,"node/455646938","Rifugio ai Brentei","information","yes",
46.1759201,10.8767334,"node/455646942","Rifugio ai Brentei","information","yes",
46.191874,10.86627,"node/455646949","Valle del Fridolin","information","yes",
46.1920475,10.8823847,"node/455647181",,"information",,
46.2099942,10.8951012,"node/455647549",,"information",,
46.2108187,10.8947176,"node/455647550",,"information",,
46.2145126,10.9009107,"node/455647648",,"information",,
46.2071906,10.9216254,"node/455671474",,,,
46.201911,10.9333576,"node/455671544",,,,
46.189947,10.9510093,"node/455671725",,"information","yes",
46.179388,10.9452934,"node/455695832",,"information","yes",
46.1710538,10.9305165,"node/455703635",,"information",,
46.1709191,10.9312612,"node/455703638",,"information",,
46.1707197,10.931502,"node/455703641",,"information",,
46.1704789,10.9317909,"node/455703647",,"information",,
46.1897451,10.9607755,"node/456423105",,"information","yes",
46.0401138,10.6324183,"node/456740218",,"information",,
46.0536835,10.599987,"node/456740238",,,,
46.0532459,10.5996651,"node/456740239",,,,
46.0495468,10.6112768,"node/456740240",,"information",,
46.0514645,10.5943447,"node/456740244",,,,
46.0486685,10.5880908,"node/456740246",,"information",,
46.1748505,10.9694025,"node/456740961",,"information","yes",
46.1591529,10.9540232,"node/456788167",,"information",,
45.7295366,11.121557,"node/458785600",,"information","yes",
45.7254407,11.1287451,"node/458785602",,"information","yes",
45.7372578,11.10356,"node/458854200",,"information","yes",
45.7431571,11.100824,"node/458854265",,"information",,
45.7973852,11.0694736,"node/458872986",,"information",,
46.1787192,10.9322571,"node/459478528",,"information",,
46.1608839,10.9476032,"node/459478607",,"information",,
46.1550943,10.9684051,"node/459518670",,"information",,
46.151531,10.9718946,"node/459656323",,"information",,
46.148548,10.9696184,"node/459656388",,"information","yes",
46.149597,10.9713883,"node/459656390",,"information",,
46.1460557,10.9678687,"node/459656394",,"information","yes",
46.1933627,10.9478603,"node/459676545",,"information","yes",
46.2649619,10.9543089,"node/459676611",,"information",,
46.2512392,10.9504636,"node/459934191",,"information",,
46.256456,10.9541197,"node/459934198",,"information",,
46.2496879,10.9553098,"node/459934200",,"information",,
46.2421776,10.9416626,"node/459935671",,"information",,
46.2247501,10.9311704,"node/459936191",,"information",,
46.2355923,10.9223621,"node/459936247",,"information","yes",
46.255708,10.9253364,"node/459964942",,"information",,
46.2587761,10.9330992,"node/459964982","Pian dela Fontanela","information",,
46.2628564,10.954035,"node/459965108",,"information",,
46.2432479,10.9186042,"node/459965231",,,,
46.2639645,10.9475772,"node/459965235",,"information",,
46.2553199,10.9528089,"node/463186455",,"information",,
46.1539475,10.7913942,"node/466182473",,"information",,
46.0537546,11.1698408,"node/469206786",,"information",,
46.0520458,11.1709377,"node/469206788",,"information",,
46.0417211,11.1817069,"node/469206795",,"information",,
46.0484002,11.1832831,"node/469206796",,"information",,
46.0499974,11.184968,"node/469206797","Stoi de Chegul","information",,
46.050909,11.1844897,"node/469206799",,"information",,
45.8296373,10.5313083,"node/470233449",,"information","yes",
46.1420941,11.5522491,"node/471948773","Laghi Val del'Inferno","information","yes",
46.0444753,11.0337512,"node/474779069",,"information",,
46.0449786,11.0342296,"node/474779070",,"information",,
46.0451898,11.0341364,"node/474779072",,"information",,
46.0417968,11.037331,"node/474779074",,"information",,
46.0437716,11.0385694,"node/474779079",,"information",,
46.0469915,11.043088,"node/474779080",,"information",,
46.0540031,11.0410895,"node/474779168",,"information",,
46.1910696,10.8888901,"node/475853606",,"information","yes",
46.2076119,10.8665329,"node/477375550",,"information","yes",
45.7859465,10.9074828,"node/477988105",,"information",,
45.7834383,10.9071817,"node/477988889",,"information",,
46.1810648,11.2654875,"node/479797683",,"information",,
46.181272,11.2699726,"node/479797697",,"information",,
46.1816171,11.2704783,"node/479797700",,"information",,
46.1822648,11.2719982,"node/479797706",,"information",,
46.4592082,11.6320631,"node/480691240",,"information",,
46.4445201,11.6224462,"node/482848726",,"information",,
46.4378881,11.6294943,"node/482852821",,"information",,
46.431081,11.642617,"node/482852842",,"information",,
46.4301472,11.6439617,"node/482852898",,"information",,
46.480936,11.672596,"node/482857778",,"information",,
46.4331816,11.6642881,"node/487104338",,"information",,
45.835119,10.8599285,"node/489869123",,"information","yes",
46.4199502,11.6306894,"node/497658717","Vael","information",,
45.882002,10.8337262,"node/511138876",,"information","yes",
45.8835136,10.8332099,"node/511138879",,"information","yes",
45.8633277,10.793727,"node/511214949",,"information","yes",
45.8484078,10.8222683,"node/512729371",,"information","yes",
46.1589084,11.071867,"node/529071031","Zambana Vecchia","information","yes",
45.9324671,10.8765838,"node/530554834",,"information",,
45.9514688,10.8870933,"node/530554840",,"information",,
45.7363297,11.1773183,"node/530827763",,"information",,
45.8727564,10.9094352,"node/533547674",,"information",,
45.9231689,10.699045,"node/540427501","Malga Vies","information",,
45.9316134,10.6923911,"node/540590096",,"information",,
45.9387093,10.6984605,"node/540590404",,"information",,
45.8010504,10.5361065,"node/550411690",,"information",,
45.8102818,10.5835494,"node/550411691",,"information",,
45.8072575,10.5886196,"node/550411694",,"information",,
45.8045117,10.6389873,"node/550411713","Bocca di Campei","information",,
46.244346,11.8540195,"node/559196723",,"information","yes",
46.2641985,11.8072254,"node/559198050",,"information",,
46.2546556,11.8158875,"node/559204149",,"information",,
46.263517,11.808309,"node/559204219",,"information",,
46.1052735,10.8875591,"node/559393758",,"information","yes",
46.1142208,10.8824651,"node/559393759",,"information","yes",
46.1136451,10.8788587,"node/559393760",,"information","yes",
46.1245125,10.8796762,"node/559393761",,"information","yes",
46.1302147,10.8800488,"node/559393762",,"information","yes",
46.1297029,10.8798309,"node/559393763",,"information","yes",
46.09324,10.8868558,"node/559393767","Pont de le Scale","information","yes",
46.0853778,10.8881225,"node/559403958",,"information","yes",
46.0841425,10.8900763,"node/559403959",,"information","yes",
46.3069585,11.7452388,"node/565160295",,"information","yes",
46.307319,11.7462344,"node/565160296",,"information","yes",
46.3075465,11.746861,"node/565160297",,"information","yes",
46.3078855,11.7470756,"node/565160300",,"information","yes",
46.3079327,11.7471872,"node/565160301",,"information","yes",
46.3075894,11.7488781,"node/565160302",,"information","yes",
46.3071051,11.7495626,"node/565160303",,"information","yes",
46.3073362,11.7527491,"node/565160304",,"information","yes",
46.3064264,11.7542769,"node/565160305",,"information","yes",
46.3070701,11.7549378,"node/565160306",,"information","yes",
46.3024652,11.7575214,"node/565160307",,"information","yes",
46.2985083,11.7569206,"node/565160308",,"information","yes",
46.2976621,11.7461813,"node/565160309",,"information","yes",
46.2950402,11.7486946,"node/565160310",,"information","yes",
46.2902534,11.7538127,"node/565160312",,"information","yes",
46.2814339,11.7616383,"node/565160313","Passo Colbricon","information","yes",
46.2807827,11.7663223,"node/565160314","Laghi di Colbricon","information","yes",
46.2957428,11.7759073,"node/565160315",,"information","yes",
46.2974621,11.7707321,"node/565160316",,"information","yes",
46.3108899,11.7692366,"node/565160318",,"information","yes",
46.3076752,11.7447066,"node/565160588",,"information","yes",
46.3113811,11.7588062,"node/565167306",,"information","yes",
46.3096399,11.7569147,"node/565167307",,"information","yes",
46.3087287,11.7522636,"node/565167309",,"information","yes",
46.105124,11.3770463,"node/570799034","Passo del Lago","information","yes",
45.8865238,10.8981798,"node/582626414",,"information",,
45.8842595,10.8935587,"node/582626418",,"information",,
45.8840833,10.8939936,"node/582626420",,"information",,
45.8825193,10.8951217,"node/582626598",,"information",,
45.8865223,10.895116,"node/582626601",,"information",,
45.9223074,10.8703896,"node/583378526",,"information",,
45.8884818,10.8977217,"node/588642650",,"information",,
45.8864578,10.8924323,"node/588642912",,"information",,
45.9142355,10.8379367,"node/600123627",,"information",,
45.9128791,10.8393615,"node/600123665",,"information","yes",
45.9263572,10.8267995,"node/600123747",,"information",,"no"
