"﻿route_id","route_long_name"
1,"Cavalese-Predazzo-Moena-Canazei-Penia"
3,"Trento -  Cembra - Capriana - Cavalese"
55,"Trento-S.Michele a/A-Salorno-Egna-Ora-Cavalese"
63,"Montesover - Sover"
65,"Cavalese - Masi di Cavalese"
67,"Cavalese - Carano - Villaggio Veronza"
69,"Trento - Nogarè - Baselga di Pinè -Montesover"
71,"Trento-Vezzano-Sarche-Tione"
73,"Tione-Bolbeno-Ragoli-Montagne"
76,"Trento-Sardagna-Candriai-Vaneze-Vason-Viote"
78,"Vezzano-Ciago-Ranzo-Margone"
80,"Trento-Cadine-Candriai-Sopramonte-Terlago-MTerlago"
84,"Centrale - Regnana"
86,"Borgo Valsugana - Olle"
90,"Levico Terme - Barco - S.Giuliana - Lochere"
92,"Baselga di Pinè - S.Mauro"
94,"Brusago-Valcava"
96,"Bedollo-Svaldi"
98,"Borgo Valsugana - Tezze - Primolano"
102,"S.Martino di Castrozza-Fiera di Primiero-Feltre"
106,"Canal S.Bovo - Ronco Fosse - Ronco Chiesa"
108,"Borgo Valsugana-Arten-Feltre"
110,"Trento-Besenello-Calliano-Rovereto"
112,"Fiera di Primiero-Passo Cereda-Mis-Sagron"
116,"Fiera di Primiero-Imer-Canal S.Bovo-Caoria"
117,"Cavalese - Daiano - Varena"
120,"Trento - Civezzano - Sover - Cavalese"
123,"(Borgo) Arten-Fiera di P.-S.Martino di Castrozza"
130,"Predazzo-P.sso Rolle-Fiera di P."
132,"Borgo Valsugana -Roncegno Terme -Ronchi"
134,"Trento-Vezzano-Sarche-Dro-Arco-Riva"
136,"Cavalese - Daiano - Carano - Tesero - Cavalese"
138,"Baselga di Pinè - Faida  - Montagnaga"
151,"Trento - Civezzano - S.Agnese - Bosco"
155,"Ponte Arche-S.Croce-Cavrasto-Bivedo"
157,"Tione-Pieve di Bono-Storo-Baitoni-Ponte Caffaro"
159,"Ponte Arche-Lundo"
161,"Ponte Arche-S.Lorenzo in B.-Molveno"
164,"Pieve di Bono-Castel Condino-Por"
167,"Pieve di Bono-Praso-Daone"
169,"Borgo Valsugana -Carzano -Strigno -Samone"
171,"Riva-Pregasina-Bezzecca-Storo-Pieve di Bono"
175,"Trento-Vigo Cavedine-Riva del Garda"
177,"Pergine-Kamauz-Frassilongo-S.Felice F.-Hacleri"
179,"Pergine -Canezza -Viarago -S.Orsola -Palù"
181,"Trento -Ravina -Mattarello -Aldeno -Garniga Terme"
184,"Borgo Valsugana - Telve - Torcegno"
186,"Trento-V.Vattaro-Centa-Carbonare-Lavarone-Luserna"
188,"Pergine Vals.-Ischia-Tenna-Levico Terme"
190,"Rovereto-Trambileno-Vanza-Pozzacchio"
194,"Rovereto-Villa-Nomi-Aldeno"
196,"Rovereto-Calliano-Folgaria-Lavarone"
198,"Rovereto-Terragnolo-Serrada-Folgaria"
200,"Rovereto-Mori-Chizzola-Cornè-Ala-Avio"
203,"Rovereto-Riva-Obra di Vallarsa-Ometto"
215,"Rovereto-Pozzacchio-Parrocchia V.-Pian d. Fugazze"
220,"Rovereto-Mori-S.Felice-Ronzo Chienis"
227,"Caoria-Canal S.Bovo-Feltre"
229,"Trento-Ciago-Monte Terlago-Ranzo-Margone"
231,"Rovereto-Mori-Brentonico-Saccone"
233,"Besagno-Crosano-Cornè-Saccone"
235,"Valle S.Felice-Manzano-Nomesino"
300,"Pergine - Civezzano"
309,"Pergine Vals.-Masetti-Assizzi-Vignola-Falesina"
311,"Siror - Fiera di Primiero - Imer - Masi Imer"
316,"Moena-Passo  S.Pellegrino-Falcade"
320,"Tione - Tione Ospedale Civile"
322,"Vigo Cavedine - Masi di Vigo Cavedine"
324,"Malè - Rabbi Bagni - Somrabbi"
326,"Malè - Folgarida - Madonna di Campiglio"
328,"Pellizzano - Menas"
330,"Malè - Bolentina"
332,"Malè -Mezzana -Fucine -Vermiglio -Passo Tonale"
334,"Malè - Mezzana - Marilleva 1400"
336,"Malè -Mezzana -Fucine -Cogolo -Peio"
340,"Mezzolombardo - Roverè della Luna"
343,"Mezzocorona Ferrovia - S.Michele - Faedo Pineta"
