"stop_id";"stop_name";"stop_lat";"stop_lon"
1;"Trento-Autostaz.";46.070785;11.118461
2;"Trento-Solteri Bivio Ss.12";46.084046;11.119732
3;"Trento-Bren Center";46.091322;11.115664
4;"Lavis";46.138361;11.109139
5;"S.Michele A/Adige";46.193684;11.132524
6;"Salorno-Salurn";46.240611;11.208106
7;"Laghetti-Laag";46.271948;11.238975
8;"Egna-Neumarkt";46.315973;11.272452
9;"Cela-Aguai Bivio";46.291364;11.418721
10;"Castello di F.-Via Stazione";46.282069;11.428969
11;"Castello di Fiemme";46.281206;11.434741
12;"Cavalese-Bivio Carano";46.287417;11.441664
13;"Cavalese-Hotel Garden";46.289269;11.448069
14;"Cavalese-P.Zza Partigiani";46.29189;11.455508
15;"Cavalese-Piazza G.Verdi";46.290334;11.460692
16;"Cavalese-Autostaz.";46.287908;11.463237
17;"Tesero-Giardino Dolomiti";46.292465;11.484695
18;"Tesero-Loc. Piera";46.292226;11.492126
19;"Tesero";46.288877;11.510913
20;"Panchià-Casa Cantoniera";46.287144;11.53192
22;"Ziano di Fiemme";46.286634;11.559677
23;"Ziano di Fiemme-Alla Roda";46.288617;11.569941
24;"Predazzo-Borgo Nuovo";46.306538;11.598956
25;"Predazzo-Autostaz.";46.30952;11.604929
27;"Predazzo-Impianti Latemar";46.32866;11.600173
28;"Mezzavalle";46.337678;11.610035
31;"Moena-Caserma Carabinieri";46.369532;11.652359
33;"Moena-Piazza Ramon";46.37659;11.659822
36;"Soraga";46.396748;11.669557
37;"Vigo di Fassa";46.421404;11.676292
38;"S.Giovanni di Fassa";46.421216;11.682022
39;"Pozza di Fassa";46.427261;11.682917
40;"Pera di Fassa";46.435925;11.690519
42;"Mazzin di Fassa";46.457958;11.701369
43;"Campestrin";46.462994;11.715177
44;"Fontanazzo";46.469686;11.727819
45;"Campitello di Fassa";46.476657;11.74117
46;"Canazei-Hotel Caminetto";46.479175;11.759202
47;"Canazei-Gries";46.477899;11.763966
48;"Canazei-Via Pareda";46.476193;11.770875
49;"Canazei-Fun. Belvedere";46.474083;11.774376
50;"Canazei-Difr.Hotel Faloria";46.471558;11.77782
51;"Alba di Canazei-Hotel Ariston";46.466319;11.780898
52;"Alba di Canazei";46.461948;11.783003
53;"Alba di Canazei-Fun.Ciampac";46.459388;11.786093
54;"Penia";46.45743;11.79184
55;"Penia-Hotel Panarel";46.456572;11.801537
56;"Penia Alta";46.458443;11.799745
59;"Penia";46.457907;11.791109
60;"Alba di Canazei-Fun.Ciampac";46.458434;11.789039
61;"Alba di Canazei";46.462156;11.782952
62;"Canazei-Hotel Faloria";46.47144;11.77794
63;"Canazei-Fun. Belvedere";46.474069;11.774728
64;"Canazei-Gries";46.477765;11.764662
65;"Canazei-Hotel Caminetto";46.479389;11.759638
66;"Campitello di Fassa";46.476626;11.740973
67;"Fontanazzo";46.469607;11.726995
68;"Pozza di Fassa";46.427925;11.683281
69;"Cavalese-Via Esterle";46.293121;11.457264
70;"Cavalese-Hotel Garden";46.289336;11.447864
71;"Laghetti-Laag";46.272132;11.238775
72;"Salorno-Salurn";46.240218;11.20719
73;"Lavis";46.136494;11.109859
74;"Trento-Stazione Fs";46.0726;11.120056
77;"Trento-Assoc. Artigiani";46.082969;11.12031
80;"Gardolo-Bivio Spini";46.118886;11.106155
81;"Gardolo-Loc.Lamar";46.129071;11.109731
82;"Lavis-Via Cembra 16";46.143208;11.106619
83;"Lavis-Via Bresadola";46.143938;11.112489
