"route_id";"trip_id";"trip_headsign";"direction_id"
84;2.48703201909122E21;"Centrale di Bedollo";0
522;2.5383420190912204E21;"Castello Tesino";0
551;2.53133201909122E21;"Serso Centrale Idroelettrica";0
578;2.48888201909122E21;"Ala-Trenitalia";0
194;2.5079420190912204E21;"Rovereto-Fermata Trenitalia";0
1;2.5350820190912203E21;"Penia";0
352;2.5050820190912203E21;"Trento-Staz. Ftm";0
503;2.51000201909122E21;"Rovereto-Via Paoli";0
196;2.48662201909122E21;"Rovereto-Fermata Trenitalia";0
693;2.53333201909122E21;"Borgo Valsugana-C.Intermodale";0
420;2.48680201909122E21;".";0
161;2.49150201909122E21;"Ponte Arche-Autost.";0
366;2.5346820190912203E21;"Mezzocorona-Staz.Fs";0
578;2.4888420190912203E21;"Ala-Trenitalia";0
76;2.52305201909122E21;"Viote";0
366;2.5429120190912203E21;"Termon";0
153;2.51519201909122E21;"Ponte Arche-Autost.";0
691;2.53381201909122E21;"Trento-Stazione Fs";0
110;2.49414201909122E21;"Rovereto-Fermata Trenitalia";0
417;2.54319201909122E21;"Riva Del G.-Autostaz.";1
134;2.53201201909122E21;"Riva Del G.-Autostaz.";0
520;2.5210620190912204E21;"Borgo Vals.-Valli";0
669;2.51129201909122E21;"Taio";0
181;2.5191620190912203E21;"Trento-Autostaz.";0
116;2.5135620190912203E21;"Caoria";0
691;2.53352201909122E21;"Trento-Stazione Fs";0
84;2.48704201909122E21;"Regnana";0
102;2.5128420190912203E21;"Feltre-Staz. Fs";0
233;2.54040201909122E21;"Brentonico";0
343;2.50280201909122E21;"Pineta di Faedo";0
494;2.52265201909122E21;"Pergine-C.Intermodale";0
112;2.49503201909122E21;"Fiera di Primiero";0
181;2.58384201910082E21;"Trento-Autostaz.";0
108;2.53815201909122E21;"Borgo Valsugana-C.Intermodale";0
198;2.4807620190912203E21;"Folgaria-Via Battisti";0
503;2.50990201909122E21;"Vò Sinistro-Passaggio Livello";0
703;2.53013201909122E21;"Lavis-Staz. Ftm";0
417;2.5317920190912203E21;"Nago";1
3;2.51769201909122E21;"Grumes";0
366;2.52966201909122E21;"Cles-Autostazione";0
123;2.5270720190912203E21;"Borgo Valsugana-C.Intermodale";0
102;2.54329201909122E21;"Feltre-Staz. Fs";0
198;2.5150820190912203E21;"Piazza di Terragnolo";0
130;2.49168201909122E21;"Castelir di Bellamonte";0
362;2.49397201909122E21;"Livo";0
167;2.4761920190912203E21;"Daone";0
552;2.51430201909122E21;"Pergine-C.Intermodale";0
423;2.4868420190912203E21;".";0
108;2.51191201909122E21;"Borgo Valsugana-C.Intermodale";0
417;2.48353201909122E21;"S.Martino di Arco";0
132;2.48429201909122E21;"Borgo Valsugana-C.Intermodale";0
138;2.4737220190912203E21;"Faida";0
196;2.5831020191008204E21;"Folgaria-P.Le N.Unite";0
175;2.5184420190912203E21;"V.Cavedine-Via S.Udalrico";0
69;2.50721201909122E21;"Trento-Autostaz.";0
196;2.51488201909122E21;"Folgaria-P.Le N.Unite";0
186;2.52102201909122E21;"Centa";0
565;2.52176201909122E21;"Sopramonte";0
366;2.54097201909122E21;"Mezzocorona-Staz.Fs";0
1;2.49015201909122E21;"Cavalese-Autostaz.";0
562;2.51352201909122E21;"Pergine-C.Intermodale";0
231;2.49704201909122E21;"Saccone";0
196;2.49896201909122E21;"Lavarone Cappella";0
693;2.53357201909122E21;"Trento-Stazione Fs";0
636;2.52261201909122E21;"Carisolo";0
