"trainId","sequenceNumber","realTime","stationId"
80,2,"09:41:00","S02044"
80,3,"09:57:00","S02038"
81,5,"10:02:00","S02038"
81,6,"10:17:00","S02044"
82,3,"15:41:00","S02044"
82,4,"15:57:00","S02038"
83,5,"18:02:00","S02038"
83,6,"18:17:00","S02044"
84,3,"11:41:00","S02044"
84,4,"11:57:00","S02038"
85,5,"12:02:00","S02038"
85,6,"12:17:00","S02044"
86,6,"13:41:00","S02044"
86,7,"13:57:00","S02038"
87,5,"14:02:00","S02038"
87,6,"14:17:00","S02044"
88,3,"07:41:00","S02044"
88,4,"07:57:00","S02038"
89,5,"16:02:00","S02038"
89,6,"16:17:00","S02044"
764,5,"04:59:00","S02044"
764,6,"05:15:00","S02038"
764,7,"05:28:00","S02035"
2251,3,"03:24:00","S02035"
2251,4,"03:36:00","S02038"
2251,5,"03:50:00","S02044"
2251,6,"04:00:00","S02049"
2252,3,"06:25:00","S02049"
2252,4,"06:38:00","S02044"
2252,5,"06:52:00","S02038"
2252,6,"07:04:00","S02035"
2253,11,"05:55:00","S02035"
2253,12,"06:08:00","S02038"
2253,13,"06:24:00","S02044"
2253,14,"06:34:00","S02049"
2259,3,"10:55:00","S02035"
2259,4,"11:08:00","S02038"
2259,5,"11:24:00","S02044"
2259,6,"11:34:00","S02049"
2260,13,"12:25:00","S02049"
2260,14,"12:38:00","S02044"
2260,15,"12:52:00","S02038"
2260,16,"13:04:00","S02035"
2261,11,"12:55:00","S02035"
2261,12,"13:08:00","S02038"
2261,13,"13:24:00","S02044"
2261,14,"13:34:00","S02049"
2262,13,"14:25:00","S02049"
2262,14,"14:38:00","S02044"
2262,15,"14:52:00","S02038"
2262,16,"15:04:00","S02035"
2263,11,"14:55:00","S02035"
2263,12,"15:08:00","S02038"
2263,13,"15:24:00","S02044"
2263,14,"15:34:00","S02049"
2264,13,"16:25:00","S02049"
2264,14,"16:38:00","S02044"
2264,15,"16:52:00","S02038"
2264,16,"17:04:00","S02035"
2265,11,"16:55:00","S02035"
2265,12,"17:08:00","S02038"
2265,13,"17:24:00","S02044"
2265,14,"17:34:00","S02049"
2266,13,"18:25:00","S02049"
2266,14,"18:38:00","S02044"
2266,15,"18:52:00","S02038"
2266,16,"19:04:00","S02035"
2267,11,"18:55:00","S02035"
2267,12,"19:08:00","S02038"
2267,13,"19:24:00","S02044"
2267,14,"19:35:00","S02049"
2268,13,"20:25:00","S02049"
2268,14,"20:38:00","S02044"
2268,15,"20:52:00","S02038"
2268,16,"21:04:00","S02035"
2761,8,"04:49:00","S02035"
2761,9,"04:55:00","S02037"
2761,10,"05:03:00","S02038"
2761,11,"05:19:00","S02044"
2761,12,"05:29:00","S02049"
2762,1,"03:30:00","S02038"
2762,2,"03:37:00","S02037"
2762,3,"03:43:00","S02035"
2763,7,"06:55:00","S02035"
2763,8,"07:08:00","S02038"
2763,9,"07:24:00","S02044"
2763,10,"07:34:00","S02049"
2764,5,"05:03:00","S02051"
2764,6,"05:09:00","S02050"
2764,7,"05:15:00","S02049"
2764,9,"05:26:00","S02046"
2764,10,"05:31:00","S02044"
2764,11,"05:47:00","S02038"
2764,12,"06:01:00","S02035"
2766,3,"07:25:00","S02049"
2766,4,"07:36:00","S02044"
2766,5,"07:50:00","S02038"
2766,6,"08:04:00","S02035"
2770,4,"21:26:00","S02049"
2770,5,"21:38:00","S02044"
2770,6,"21:57:00","S02038"
2958,3,"10:25:00","S02049"
2958,4,"10:38:00","S02044"
2958,5,"10:52:00","S02038"
2958,6,"11:04:00","S02035"
5500,5,"03:31:30","S02318"
5500,6,"03:38:00","S02317"
5500,7,"03:48:00","S02315"
5500,8,"03:54:00","S02314"
5500,9,"03:57:00","S02313"
5500,10,"04:02:00","S02312"
5500,11,"04:11:00","S02309"
5500,12,"04:16:00","S02308"
5500,13,"04:20:30","S02307"
5500,15,"04:31:00","S02305"
5500,17,"04:45:00","S02300"
5500,19,"04:51:30","S02003"
5500,20,"04:58:00","S02038"
5500,21,"05:09:00","S02035"
5501,1,"03:05:00","S02038"
5501,2,"03:08:30","S02003"
5501,4,"03:15:00","S02300"
5501,6,"03:31:00","S02305"
5501,8,"03:40:30","S02307"
5501,9,"03:46:00","S02308"
5501,10,"03:51:00","S02309"
5501,11,"04:02:00","S02312"
5501,12,"04:07:00","S02313"
5501,13,"04:10:00","S02314"
5501,14,"04:15:00","S02315"
5501,15,"04:24:00","S02317"
5501,16,"04:30:30","S02318"
5503,1,"03:35:00","S02038"
5503,2,"03:38:30","S02003"
5503,4,"03:45:00","S02300"
5503,6,"04:01:00","S02305"
5503,8,"04:10:30","S02307"
5503,9,"04:16:00","S02308"
5503,10,"04:21:00","S02309"
5503,11,"04:32:00","S02312"
5503,12,"04:37:00","S02313"
5503,13,"04:40:00","S02314"
5504,8,"06:01:30","S02318"
5504,9,"06:08:00","S02317"
5504,10,"06:18:00","S02315"
5504,11,"06:24:00","S02314"
5504,12,"06:27:00","S02313"
5504,13,"06:32:00","S02312"
5504,14,"06:41:00","S02309"
5504,15,"06:46:00","S02308"
5504,16,"06:50:30","S02307"
5504,18,"07:01:00","S02305"
5504,20,"07:15:00","S02300"
5504,22,"07:21:30","S02003"
5504,23,"07:28:00","S02038"
5505,1,"04:05:00","S02038"
5505,2,"04:08:30","S02003"
5505,4,"04:15:00","S02300"
5505,6,"04:31:00","S02305"
5505,8,"04:40:30","S02307"
5505,9,"04:46:00","S02308"
5505,10,"04:51:00","S02309"
5505,11,"05:01:00","S02312"
5505,12,"05:09:00","S02313"
5505,13,"05:12:00","S02314"
5505,14,"05:17:00","S02315"
5505,15,"05:28:00","S02317"
5505,16,"05:34:30","S02318"
5506,8,"07:01:30","S02318"
5506,9,"07:08:00","S02317"
5506,10,"07:18:00","S02315"
5506,11,"07:24:00","S02314"
5506,12,"07:27:00","S02313"
5506,13,"07:32:00","S02312"
5506,14,"07:41:00","S02309"
5506,15,"07:46:00","S02308"
5506,16,"07:50:30","S02307"
5506,18,"08:01:00","S02305"
5506,20,"08:15:00","S02300"
5506,22,"08:21:30","S02003"
5506,23,"08:28:00","S02038"
5507,1,"07:05:00","S02038"
5507,2,"07:08:30","S02003"
5507,4,"07:15:00","S02300"
5507,6,"07:31:00","S02305"
5507,8,"07:40:30","S02307"
5507,9,"07:46:00","S02308"
5507,10,"07:51:00","S02309"
5507,11,"08:02:00","S02312"
5507,12,"08:07:00","S02313"
5507,13,"08:10:00","S02314"
5507,14,"08:15:00","S02315"
5507,15,"08:28:00","S02317"
5507,16,"08:34:30","S02318"
5510,8,"10:01:30","S02318"
5510,9,"10:08:00","S02317"
5510,10,"10:18:00","S02315"
5510,11,"10:24:00","S02314"
5510,12,"10:27:00","S02313"
5510,13,"10:32:00","S02312"
5510,14,"10:41:00","S02309"
5510,15,"10:46:00","S02308"
5510,16,"10:50:30","S02307"
5510,18,"11:01:00","S02305"
5510,20,"11:15:00","S02300"
5510,22,"11:21:30","S02003"
5510,23,"11:28:00","S02038"
5511,1,"09:05:00","S02038"
5511,2,"09:08:30","S02003"
5511,4,"09:15:00","S02300"
5511,6,"09:31:00","S02305"
5511,8,"09:40:30","S02307"
5511,9,"09:46:00","S02308"
5511,10,"09:51:00","S02309"
5511,11,"10:02:00","S02312"
5511,12,"10:07:00","S02313"
5511,13,"10:10:00","S02314"
5511,14,"10:15:00","S02315"
