"FARE_DESC","CONTAINS_ID"
"Biglietto Urbano Trento 70 min",1
"Biglietto Urbano Trento 70 min",935
"Biglietto Urbano Trento 70 min",937
"Biglietto Urbano Trento 70 min",944
"Biglietto Urbano Trento 70 min",946
"Biglietto Urbano Trento 70 min",1010
"Biglietto Urbano Trento 70 min",10110
"Biglietto Urbano Trento 70 min",11015
"Biglietto Urbano Trento 70 min",15650
"Biglietto Urbano Trento 70 min",19025
"Biglietto Urbano Trento 70 min",2010
"Biglietto Urbano Trento 70 min",20110
"Biglietto Urbano Trento 70 min",2030
"Biglietto Urbano Trento 70 min",2620
"Biglietto Urbano Trento 70 min",2621
"Biglietto Urbano Trento 70 min",3010
"Biglietto Urbano Trento 70 min",3020
"Biglietto Urbano Trento 70 min",3610
"Biglietto Urbano Trento 70 min",3620
"Biglietto Urbano Trento 70 min",3710
"Biglietto Urbano Trento 70 min",3720
"Biglietto Urbano Trento 70 min",3730
"Biglietto Urbano Trento 70 min",4005
"Biglietto Urbano Trento 70 min",4010
"Biglietto Urbano Trento 70 min",7007
"Biglietto Urbano Trento 120 min",1
"Biglietto Urbano Trento 120 min",935
"Biglietto Urbano Trento 120 min",937
"Biglietto Urbano Trento 120 min",944
"Biglietto Urbano Trento 120 min",946
"Biglietto Urbano Trento 120 min",1010
"Biglietto Urbano Trento 120 min",10110
"Biglietto Urbano Trento 120 min",11015
"Biglietto Urbano Trento 120 min",15650
"Biglietto Urbano Trento 120 min",19025
"Biglietto Urbano Trento 120 min",2010
"Biglietto Urbano Trento 120 min",20110
"Biglietto Urbano Trento 120 min",2030
"Biglietto Urbano Trento 120 min",2620
"Biglietto Urbano Trento 120 min",2621
"Biglietto Urbano Trento 120 min",3010
"Biglietto Urbano Trento 120 min",3020
"Biglietto Urbano Trento 120 min",3610
"Biglietto Urbano Trento 120 min",3620
"Biglietto Urbano Trento 120 min",3710
"Biglietto Urbano Trento 120 min",3720
"Biglietto Urbano Trento 120 min",3730
"Biglietto Urbano Trento 120 min",4005
"Biglietto Urbano Trento 120 min",4010
"Biglietto Urbano Trento 120 min",7007
"Biglietto Urbano Giornaliero Trento",1
"Biglietto Urbano Giornaliero Trento",935
"Biglietto Urbano Giornaliero Trento",937
"Biglietto Urbano Giornaliero Trento",944
"Biglietto Urbano Giornaliero Trento",946
"Biglietto Urbano Giornaliero Trento",1010
"Biglietto Urbano Giornaliero Trento",10110
"Biglietto Urbano Giornaliero Trento",11015
"Biglietto Urbano Giornaliero Trento",15650
"Biglietto Urbano Giornaliero Trento",19025
"Biglietto Urbano Giornaliero Trento",2010
"Biglietto Urbano Giornaliero Trento",20110
"Biglietto Urbano Giornaliero Trento",2030
"Biglietto Urbano Giornaliero Trento",2620
"Biglietto Urbano Giornaliero Trento",2621
"Biglietto Urbano Giornaliero Trento",3010
"Biglietto Urbano Giornaliero Trento",3020
"Biglietto Urbano Giornaliero Trento",3610
"Biglietto Urbano Giornaliero Trento",3620
"Biglietto Urbano Giornaliero Trento",3710
"Biglietto Urbano Giornaliero Trento",3720
"Biglietto Urbano Giornaliero Trento",3730
"Biglietto Urbano Giornaliero Trento",4005
"Biglietto Urbano Giornaliero Trento",4010
"Biglietto Urbano Giornaliero Trento",7007
"Biglietto Urbano Giornaliero Pda Rovereto",10101
"Biglietto Urbano Giornaliero Pda Rovereto",10121
"Biglietto Urbano Giornaliero Pda Rovereto",11096
"Biglietto Urbano Giornaliero Pda Rovereto",13041
"Biglietto Urbano Giornaliero Pda Rovereto",14051
