"average(delay)","route_long_name","trip_id","direction_id","wheelchair_accessible"
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003144362019091220200610",0,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003147512019091220200610",0,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003147792019091220200610",0,1
5.5,"Cortesano Gardolo P.Dante Villazzano 3","0003149562019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150562019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150572019091220200610",1,1
2.5,"Cortesano Gardolo P.Dante Villazzano 3","0003150582019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150592019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150602019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150612019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150622019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150632019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150642019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150652019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150662019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150672019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150682019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150692019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150702019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150712019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150722019091220200610",1,1
2.25,"Cortesano Gardolo P.Dante Villazzano 3","0003150732019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150742019091220200610",1,1
0.0,"Cortesano Gardolo P.Dante Villazzano 3","0003150752019091220200610",1,1
