"LINEA";"CORSA";"ORA_PARTENZA";"ORA_ARRIVO";"average(passengers)"
"(Borgo) Arten-Fiera di P.-S.Martino di Castrozza";"B500550407";"16:10:00";"17:20:00";5.7727272727272725
"(Borgo) Arten-Fiera di P.-S.Martino di Castrozza";"B5005505";"16:10:00";"17:56:00";3.4
"(Borgo) Arten-Fiera di P.-S.Martino di Castrozza";"E500550310";"16:10:00";"17:20:00";3.5555555555555554
"Agordo-Mis-Fiera di Primiero-Siror";"B503760004";"06:44:00";"07:42:00";4.666666666666667
"Agordo-Mis-Fiera di Primiero-Siror";"B503830004";"17:05:00";"18:00:00";13.0
"Agordo-Mis-Fiera di Primiero-Siror";"B503840204";"06:44:00";"07:42:00";4.25
"Agordo-Mis-Fiera di Primiero-Siror";"B504180001";"04:44:00";"05:46:00";5.25
"Agordo-Mis-Fiera di Primiero-Siror";"B504190101";"14:05:00";"15:00:00";41.0
"Agordo-Mis-Fiera di Primiero-Siror";"B504200002";"12:40:00";"13:42:00";10.25
"Agordo-Mis-Fiera di Primiero-Siror";"B5042101";"22:05:00";"23:03:00";40.0
"Aldeno-Nomi-Villa-Rovereto";"B301390107";"06:55:00";"07:28:00";6.5
"Aldeno-Nomi-Villa-Rovereto";"B301410005";"13:10:00";"13:44:00";2.0
"Aldeno-Nomi-Villa-Rovereto";"B301420012";"12:32:00";"13:10:00";1.3333333333333333
"Aldeno-Nomi-Villa-Rovereto";"B3014202";"12:32:00";"13:05:00";1.5
"Aldeno-Nomi-Villa-Rovereto";"B301440008";"18:00:00";"18:33:00";2.6363636363636362
"Aldeno-Nomi-Villa-Rovereto";"B303080007";"13:18:00";"13:56:00";3.4375
"Aldeno-Nomi-Villa-Rovereto";"B303660016";"15:25:00";"15:36:00";3.0
"Aldeno-Nomi-Villa-Rovereto";"B303720010";"15:50:00";"16:07:00";1.0
"Aldeno-Nomi-Villa-Rovereto";"B304170004";"12:45:00";"13:03:00";1.0
"Aldeno-Nomi-Villa-Rovereto";"B304230004";"13:50:00";"14:08:00";2.5
"Aldeno-Nomi-Villa-Rovereto";"B304250010";"17:50:00";"18:08:00";1.5
"Aldeno-Nomi-Villa-Rovereto";"B304300005";"06:53:00";"07:12:00";4.6923076923076925
"Aldeno-Nomi-Villa-Rovereto";"B307970002";"17:12:00";"17:30:00";3.5
"Aldeno-Nomi-Villa-Rovereto";"E301390008";"06:55:00";"07:31:00";1.5
"Aldeno-Nomi-Villa-Rovereto";"E301410005";"13:10:00";"13:44:00";1.0
"Aldeno-Nomi-Villa-Rovereto";"E301420007";"12:30:00";"13:03:00";1.3333333333333333
"Aldeno-Nomi-Villa-Rovereto";"E301440006";"18:00:00";"18:33:00";1.0
"Aldeno-Nomi-Villa-Rovereto";"E303660007";"15:18:00";"15:29:00";2.0
"Aldeno-Nomi-Villa-Rovereto";"E304250004";"17:50:00";"18:08:00";1.0
"Aldeno-Nomi-Villa-Rovereto";"E304300005";"06:53:00";"07:12:00";3.0
"Alpe Pampeago-Cavalese";"B1044501";"07:20:00";"07:27:00";1.0
"Alpe Pampeago-Cavalese";"E100620105";"11:05:00";"11:34:00";2.0
