"Denominazione impianto","Comune","Lunghezza Inclinata (m)","Dislivello (m)","Tipo veicolo","CapacitÃ  Veicolo (Pers.)","Portata Max (Pers/h)"
"Francolini - Sommo Alto","Folgaria","1287","311","seggiola",2,1200
"Folgaria - Monte Cornetto","Folgaria","1675","453","cabina",2,508
"Brenzi -Spolverino","Dimaro","716","235,21","seggiola",2,1200
"Laghet - Doss","Andalo","150","42","seggiola",2,1028
"Malghet Haut - Campi scuola","Dimaro","351,13","26,96","seggiola",2,1200
"Paradiso - Presena","Vermiglio","1227","154","seggiola",2,900
"M.ga Montagnoli - M.te Spinale","Ragoli","1162,1","303,15","seggiola",2,900
"Campi di Golf - M.ga di Mezzavia","RuffrÃ¨","1378","227","seggiola",3,1677
"Lago Malghette - Monte Vigo","Pinzolo","1187,12","374,6","seggiola",3,1588
"Vanezze - 3 tre","Trento","1059","323","seggiola",2,1200
"Fedaia - Pian dei Fiacconi","Canazei","1543","552","cabina",2,472
"Fossadei - M.ga Cioca","Pinzolo","1050","331,71","seggiola",2,694
"Fontana Fevri - Monte Spinale","Ragoli","1049,71","367,8","seggiola",3,1500
"M.ga Panciana - Doss della Pesa","Mezzana","1200","360","seggiola",4,1068
"Dosso Marilleva - Doss della Pesa","Mezzana","570,59","196,16","seggiola",2,710
"M.ga Montagna Grande - Cima Esi","Pergine","1049","254","seggiola",2,1000
"Meriz - M.ga di Fai","Fai","1305","250","seggiola",2,1028
"Madonna di Campiglio - Patascoss","Pinzolo","459,16","183,46","seggiola",2,1125
"M.ga Zambana - La Selletta","Zambana","898,15","231,59","seggiola",2,1200
"Calchera di boch - Vagliana","Ragoli","786,27","185,3","seggiola",2,1028
"Roseal","Canazei","587","125,5","seggiola",2,1200
"Costa - Dosso della Madonna","Folgaria","201","64","seggiola",2,1058
"Cima Uomo","Soraga","738","226","seggiola",2,1125
"C.Carlo Magno - M.ga Montagnoli","Ragoli","875,56","150,5","seggiola",2,1200
"Pian Pecei - Ciampedie","Vigo di Fassa","486","192","seggiola",3,1800
"Rifugio - Furet","Pergine","237","52","seggiola",2,1016
"S.Martino - M.ga Ces","Siror","925","142","seggiola",3,1797
"Mga Ces - M.ga Valcigolera","Siror","1635","473","seggiola",2,900
"M.ga Valcigolera - Cima Tognola","Siror","1325","467","seggiola",2,1200
"Ferrari","Siror","668","147","seggiola",2,1200
"Monte Nock - RuffrÃ¨","RuffrÃ¨","412,49","124,5","seggiola",2,1200
"Vajolet 1Â°","Pozza di Fassa","1091","260","seggiola",2,1200
"Vajolet 2Â°","Pozza di Fassa","1503","232","seggiola",2,900
"M.ga Tognola - C.ma Tognola","Siror","1251","362","seggiola",2,1200
"Val Mastellina - Bassetta del Vigo","Commezzadura","899,96","196,07","seggiola",3,1800
"Alloch - Pian delle Checene","Pozza di Fassa","982","310","seggiola",3,1800
"Fondo Piccolo - Cargaore","Folgaria","655","154","seggiola",3,1800
"M.ga Panciana - Ometto","Commezzadura","672,15","141","seggiola",2,1200
"Scandola - Tognola","Siror","876","205","seggiola",3,1800
"Mezoli - Taviela","Peio","770,47","134,47","seggiola",2,893
"Fondo Piccolo - Trugalait","Folgaria","459","137","seggiola",3,1800
"Passo Rolle - Castellazzo","Tonadico","992","229","seggiola",3,1800
"Buca Ferrari - Cima Tognazza","Siror","882","318","seggiola",4,1822
"Stalimen - Trampolini","Predazzo","260","93","seggiola",1,201
"Bassetta del Vigo - Monte Spolverino","Dimaro-Commezzadura","588,14","128,68","seggiola",2,1200
"Malga Tognola - Tognazza","Siror","1171","226","seggiola",3,1796
"Salei - Rodella","Canazei - Campitello","749","273","seggiola",4,1800
"Soneck - Tablat","Lavarone","363","47","seggiola",2,900
"Bertoldi - Tablat","Lavarone","876","186,7","seggiola",3,1316
"Cimon -Scuola","Siror","478,57","65","seggiola",4,1480
"Vason - Palon","Trento","1303","432","seggiola",3,1200
"Rodella - Des Alpes","Canazei","562","172","seggiola",4,1750
"Malga Copai - Dosso Marilleva","Mezzana","1332","443","seggiola",3,1800
"Campo Scuola - CiampediÃ¨","Vigo di Fassa","379","49,5","seggiola",4,1200
"Bucaneve - Postemon","Brentonico","1137,8","327,5","seggiola",4,2000
"Malga Marande - Monte Agaro","Castello Tesino","1226,18","298,6","seggiola",4,2100
"Malga Ortesino - Sommo Alto","Folgaria","975","254","seggiola",4,2199
